ObservationDate	StationNumber	StationName	Latitude	Longitude	TotalPrecipAmt
11/17/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
11/17/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
11/17/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0
11/17/2020	 NH-HL-97	 Manchester 2.3 WNW (Playground)	43.000391	-71.48368	0.03
11/17/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
11/17/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
11/17/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
11/17/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
11/17/2020	 NH-HL-93	 Manchester 2.2 WNW (Music Room)	42.99901	-71.48316	0.01
11/16/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.78
11/16/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0.65
11/16/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.65
11/16/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0.67
11/16/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.54
11/16/2020	 NH-HL-97	 Manchester 2.3 WNW (Playground)	43.000391	-71.48368	0.71
11/16/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.77
11/16/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.82
11/16/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.68
11/16/2020	 NH-HL-19	 Brookline 2.1 SW	42.7123505	-71.6975995	0.65
11/15/2020	 NH-HL-19	 Brookline 2.1 SW	42.7123505	-71.6975995	0
11/15/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
11/15/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
11/15/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0
11/15/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
11/15/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
11/15/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
11/15/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
11/15/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
11/14/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
11/14/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0.01
11/14/2020	 NH-HL-87	 Brookline 1.2 SSW	42.718927	-71.667576	0.13
11/14/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.17
11/14/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0.15
11/14/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	 T
11/14/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.09
11/14/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.19
11/14/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.13
11/13/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.05
11/13/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.08
11/13/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.03
11/13/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.05
11/13/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0.01
11/13/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.18
11/13/2020	 NH-HL-87	 Brookline 1.2 SSW	42.718927	-71.667576	0.15
11/13/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0.18
11/13/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.09
11/13/2020	 NH-HL-93	 Manchester 2.2 WNW (Music Room)	42.99901	-71.48316	0.02
11/12/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
11/12/2020	 NH-HL-93	 Manchester 2.2 WNW (Music Room)	42.99901	-71.48316	0
11/12/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0.02
11/12/2020	 NH-HL-87	 Brookline 1.2 SSW	42.718927	-71.667576	 T
11/12/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
11/12/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
11/12/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
11/12/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	 T
11/12/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
11/12/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.01
11/12/2020	 NH-HL-19	 Brookline 2.1 SW	42.7123505	-71.6975995	0
11/11/2020	 NH-HL-19	 Brookline 2.1 SW	42.7123505	-71.6975995	0
11/11/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
11/11/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
11/11/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0
11/11/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
11/11/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
11/11/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
11/11/2020	 NH-HL-87	 Brookline 1.2 SSW	42.718927	-71.667576	0
11/11/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
11/11/2020	 NH-HL-93	 Manchester 2.2 WNW (Music Room)	42.99901	-71.48316	0
11/11/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
11/10/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
11/10/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
11/10/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
11/10/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
11/10/2020	 NH-HL-93	 Manchester 2.2 WNW (Music Room)	42.99901	-71.48316	0
11/10/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
11/10/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0
11/10/2020	 NH-HL-97	 Manchester 2.3 WNW (Playground)	43.000391	-71.48368	0
11/10/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
11/10/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
11/9/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
11/9/2020	 NH-HL-19	 Brookline 2.1 SW	42.7123505	-71.6975995	0
11/9/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
11/9/2020	 NH-HL-97	 Manchester 2.3 WNW (Playground)	43.000391	-71.48368	0.05
11/9/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0
11/9/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
11/9/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
11/9/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
11/9/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
11/9/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
11/9/2020	 NH-HL-93	 Manchester 2.2 WNW (Music Room)	42.99901	-71.48316	0
11/8/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
11/8/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
11/8/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
11/8/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
11/8/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
11/8/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0
11/8/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
11/8/2020	 NH-HL-19	 Brookline 2.1 SW	42.7123505	-71.6975995	0
11/8/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
11/7/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
11/7/2020	 NH-HL-19	 Brookline 2.1 SW	42.7123505	-71.6975995	0
11/7/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
11/7/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
11/7/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
11/7/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
11/7/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
11/7/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
11/6/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
11/6/2020	 NH-HL-93	 Manchester 2.2 WNW (Music Room)	42.99901	-71.48316	0
11/6/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
11/6/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
11/6/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
11/6/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
11/6/2020	 NH-HL-97	 Manchester 2.3 WNW (Playground)	43.000391	-71.48368	0
