ID	ROOT_ID	LATITUDE	LONGITUDE	CATEGORY	FLOW_TYPE	MOISTURE	WATER_LEVEL	SPOTTED_AT	IMAGE
253577	253577	42.94813	-71.609372	soil moisture		dry		8/5/2020 18:34	https://files.spotteron.com/images/spots/000007/2020/08/vv1b3sc8iq4opo4rj0fwmamyrfktgsxm.jpg
254903	253577	42.94813	-71.609372	soil moisture		dry		8/9/2020 7:48	https://files.spotteron.com/images/spots/000007/2020/08/vyfi34s8h651e84jdqsbecfsezsj2wn6.jpg
260114	253577	42.94813	-71.609372	soil moisture		dry		8/18/2020 16:09	https://files.spotteron.com/images/spots/000007/2020/08/lfhfh5bhhq1w4qbvkhbmiqs4k8ixodym.jpg
263950	253577	42.94813	-71.609372	soil moisture		dry		8/28/2020 10:47	
267043	253577	42.94813	-71.609372	soil moisture		dry		9/6/2020 23:23	https://files.spotteron.com/images/spots/000007/2020/09/6ujlw4sodrpjzznxae0olqxhpw2hetkx.jpg
268857	253577	42.94813	-71.609372	soil moisture		gradually damp		9/11/2020 14:38	https://files.spotteron.com/images/spots/000007/2020/09/xacu6zqi86rx7uckk6t0qzz1skp2taoi.jpg
274180	253577	42.94813	-71.609372	soil moisture		dry		9/19/2020 13:39	https://files.spotteron.com/images/spots/000007/2020/09/6a48qb66ob1d4rdjoo737erjqkciquuw.jpg
279049	253577	42.94813	-71.609372	soil moisture		dry		9/27/2020 20:06	https://files.spotteron.com/images/spots/000007/2020/09/cvp61n0lkk9pip275pee3ss3pnlwurkt.jpg
283050	253577	42.94813	-71.609372	soil moisture		gradually damp		10/4/2020 11:53	https://files.spotteron.com/images/spots/000007/2020/10/j5ebco11c0rflo58yct2ojxn1ssq3mtp.jpg
288678	253577	42.94813	-71.609372	soil moisture		gradually damp		10/18/2020 9:00	https://files.spotteron.com/images/spots/000007/2020/10/o9tyiy8vvn8il9foxelimkq1qjbtcde2.jpg
290738	253577	42.94813	-71.609372	soil moisture		gradually wet		10/23/2020 17:18	https://files.spotteron.com/images/spots/000007/2020/10/l5bvd3kmp9hhsus156i96fc7m0s8xpf1.jpg
301827	253577	42.94813	-71.609372	soil moisture		immediately wet		11/13/2020 13:47	https://files.spotteron.com/images/spots/000007/2020/11/bu5fdwa3v1j82fteacq8ud75wou4so8z.jpg
301829	253577	42.94813	-71.609372	soil moisture		gradually wet		11/13/2020 13:51	https://files.spotteron.com/images/spots/000007/2020/11/6fce3cg2pfpl0cleyau1xk5gzqsroa9y.jpg
303129	253577	42.94813	-71.609372	soil moisture		gradually damp		11/15/2020 20:19	https://files.spotteron.com/images/spots/000007/2020/11/hvq02fwvlxu7r9ztbfieevjf9mn4y8my.jpg
256788	256788	42.944206	-71.598718	soil moisture		gradually damp		8/8/2020 16:43	https://files.spotteron.com/images/spots/000007/2020/08/ugfssmnwg31gaz5gyj75cj5zcxxvir5k.jpg
259163	256788	42.944206	-71.598718	soil moisture		gradually damp		8/18/2020 21:14	https://files.spotteron.com/images/spots/000007/2020/08/p7oewtvik900ompg53jat5861ow54vqt.jpg
263942	256788	42.944206	-71.598718	soil moisture		gradually damp		8/28/2020 10:39	https://files.spotteron.com/images/spots/000007/2020/08/8vmi3zej7humvr8hgankfzvpryicnymd.jpg
267038	256788	42.944206	-71.598718	soil moisture		gradually damp		9/6/2020 23:21	https://files.spotteron.com/images/spots/000007/2020/09/4a4z8igj4liwkv0ruzz92zohradi2ib7.jpg
268853	256788	42.944206	-71.598718	soil moisture		gradually damp		9/11/2020 14:32	https://files.spotteron.com/images/spots/000007/2020/09/lmwpx3kyblnhrn6te5wl5ks26xv9pvu0.jpg
274176	256788	42.944206	-71.598718	soil moisture		gradually damp		9/19/2020 13:29	https://files.spotteron.com/images/spots/000007/2020/09/rwp6n1dcs9qr3h2imdezpn5msgef6wuk.jpg
279046	256788	42.944206	-71.598718	soil moisture		gradually damp		9/27/2020 20:02	https://files.spotteron.com/images/spots/000007/2020/09/88znsces5n38xagzlrt12hnonsqd52zb.jpg
283045	256788	42.944206	-71.598718	soil moisture		immediately wet		10/4/2020 11:46	https://files.spotteron.com/images/spots/000007/2020/10/595eat0an2xaerar7nj9wh70uwr0kfjx.jpg
288674	256788	42.944206	-71.598718	soil moisture		muddy		10/18/2020 9:00	
290727	256788	42.944206	-71.598718	soil moisture		muddy		10/23/2020 17:07	https://files.spotteron.com/images/spots/000007/2020/10/2vrp0eld1w9re04388zp6xgtp5ck78uu.jpg
295349	256788	42.944206	-71.598718	soil moisture		rain / snow		10/31/2020 15:53	https://files.spotteron.com/images/spots/000007/2020/10/6mxv07146hsrjwgkqfhqtu0ulspnncz6.jpg
256792	256792	42.946921	-71.608091	soil moisture		dry		8/8/2020 16:59	https://files.spotteron.com/images/spots/000007/2020/08/b3mn5mxwk1dbwxelnbk0p02gyrxejfkl.jpg
260112	256792	42.946921	-71.608091	soil moisture		dry		8/18/2020 16:08	https://files.spotteron.com/images/spots/000007/2020/08/vlta6jg22w4lovs47hffyxy3mvyl7g43.jpg
263947	256792	42.946921	-71.608091	soil moisture		gradually damp		8/28/2020 10:42	https://files.spotteron.com/images/spots/000007/2020/08/oeeekarg438k7jxrmufmlxi40pj848ir.jpg
267042	256792	42.946921	-71.608091	soil moisture		gradually damp		9/6/2020 23:23	https://files.spotteron.com/images/spots/000007/2020/09/pl7ysbpmkx5zockx5q3igcyitqlwwjq5.jpg
268856	256792	42.946921	-71.608091	soil moisture		gradually damp		9/11/2020 14:35	https://files.spotteron.com/images/spots/000007/2020/09/afdjxvb5npvt5lreqo1aesn2v52769qq.jpg
274177	256792	42.946921	-71.608091	soil moisture		dry		9/19/2020 13:36	https://files.spotteron.com/images/spots/000007/2020/09/d78mf4pidpefy95g7w9agltpga80x9xl.jpg
279050	256792	42.946921	-71.608091	soil moisture		dry		9/27/2020 20:07	https://files.spotteron.com/images/spots/000007/2020/09/aoubg2043fz7tcx8i3fs9e5p1sy82xp8.jpg
283049	256792	42.946921	-71.608091	soil moisture		gradually damp		10/4/2020 11:52	https://files.spotteron.com/images/spots/000007/2020/10/rf0ifuvfk6uo7ougfjmb6jlmx5smpfbq.jpg
288677	256792	42.946921	-71.608091	soil moisture		gradually wet		10/18/2020 9:00	https://files.spotteron.com/images/spots/000007/2020/10/cpjouze1y605ywhnmml5zsjn9q2vx2p5.jpg
290732	256792	42.946921	-71.608091	soil moisture		immediately wet		10/23/2020 17:14	https://files.spotteron.com/images/spots/000007/2020/10/dtblqo3dkgll9dqubsqz34celsyjefa8.jpg
295346	256792	42.946921	-71.608091	soil moisture		rain / snow		10/31/2020 15:50	https://files.spotteron.com/images/spots/000007/2020/10/6hen9c3wlyf885ia6vsy9wiebbicse2h.jpg
301828	256792	42.946921	-71.608091	soil moisture		immediately wet		11/13/2020 13:49	https://files.spotteron.com/images/spots/000007/2020/11/5dwqva9pszeyiisk3jpd5lmnvqgk75n5.jpg
303132	256792	42.946921	-71.608091	soil moisture		gradually damp		11/15/2020 20:23	https://files.spotteron.com/images/spots/000007/2020/11/mq0wr1blka5o4zi0zggm8tc9lcn22iql.jpg
256787	256787	42.944495	-71.596229	temporary stream	dry streambed			8/8/2020 16:38	https://files.spotteron.com/images/spots/000007/2020/08/6mlpvxenn1pwlujll155sqewv1odqtkv.jpg
259162	256787	42.944495	-71.596229	temporary stream	dry streambed			8/18/2020 21:13	https://files.spotteron.com/images/spots/000007/2020/08/6cu6sn8tumde58q9nvyqbemzvgy8z61j.jpg
