Run	Generation	K_Mainland	N_Mainland	Yellow	Blue	Red
1	0	20	20	0.126	0.4	0.475
1	2	20	20	0.175	0.575	0.25
1	4	20	20	0.275	0.65	0.075
1	6	20	20	0.125	0.725	0.15
1	8	20	20	0.125	0.75	0.125
1	10	20	20	0.05	0.875	0.075
1	12	20	20	0.075	0.875	0.05
1	14	20	20	0.125	0.875	0
1	16	20	20	0.1	0.9	0
1	18	20	20	0	1	0
1	20	20	20	0	1	0
1	22	20	20	0	1	0
1	24	20	20	0	1	0
1	26	20	20	0	1	0
1	28	20	20	0	1	0
1	30	20	20	0	1	0
1	32	20	20	0	1	0
1	34	20	20	0	1	0
1	36	20	20	0	1	0
1	38	20	20	0	1	0
1	40	20	20	0	1	0
1	42	20	20	0	1	0
1	44	20	20	0	1	0
1	46	20	20	0	1	0
1	48	20	20	0	1	0
1	50	20	20	0	1	0
1	52	20	20	0	1	0
1	54	20	20	0	1	0
1	56	20	20	0	1	0
1	58	20	20	0	1	0
1	60	20	20	0	1	0
1	62	20	20	0	1	0
1	64	20	20	0	1	0
1	66	20	20	0	1	0
1	68	20	20	0	1	0
1	70	20	20	0	1	0
1	72	20	20	0	1	0
1	74	20	20	0	1	0
1	76	20	20	0	1	0
1	78	20	20	0	1	0
1	80	20	20	0	1	0
1	82	20	20	0	1	0
1	84	20	20	0	1	0
1	86	20	20	0	1	0
1	88	20	20	0	1	0
1	90	20	20	0	1	0
1	92	20	20	0	1	0
1	94	20	20	0	1	0
1	96	20	20	0	1	0
1	98	20	20	0	1	0
1	100	20	20	0	1	0
2	0	20	20	0.1	0.525	0.375
2	2	20	20	0.25	0.375	0.375
2	4	20	20	0.475	0.4	0.125
2	6	20	20	0.4	0.475	0.125
2	8	20	20	0.325	0.55	0.125
2	10	20	20	0.625	0.3	0.075
2	12	20	20	0.825	0.175	0
2	14	20	20	1	0	0
2	16	20	20	1	0	0
2	18	20	20	1	0	0
2	20	20	20	1	0	0
2	22	20	20	1	0	0
2	24	20	20	1	0	0
2	26	20	20	1	0	0
2	28	20	20	1	0	0
2	30	20	20	1	0	0
2	32	20	20	1	0	0
2	34	20	20	1	0	0
2	36	20	20	1	0	0
2	38	20	20	1	0	0
2	40	20	20	1	0	0
2	42	20	20	1	0	0
2	44	20	20	1	0	0
2	46	20	20	1	0	0
2	48	20	20	1	0	0
2	50	20	20	1	0	0
2	52	20	20	1	0	0
2	54	20	20	1	0	0
2	56	20	20	1	0	0
2	58	20	20	1	0	0
2	60	20	20	1	0	0
2	62	20	20	1	0	0
2	64	20	20	1	0	0
2	66	20	20	1	0	0
2	68	20	20	1	0	0
2	70	20	20	1	0	0
2	72	20	20	1	0	0
2	74	20	20	1	0	0
2	76	20	20	1	0	0
2	78	20	20	1	0	0
2	80	20	20	1	0	0
2	82	20	20	1	0	0
2	84	20	20	1	0	0
2	86	20	20	1	0	0
2	88	20	20	1	0	0
2	90	20	20	1	0	0
2	92	20	20	1	0	0
2	94	20	20	1	0	0
2	96	20	20	1	0	0
2	98	20	20	1	0	0
2	100	20	20	1	0	0
3	0	20	20	0.1	0.45	0.45
3	2	20	20	0.05	0.525	0.425
3	4	20	20	0.1	0.5	0.4
3	6	20	20	0.125	0.4	0.475
3	8	20	20	0.125	0.15	0.725
3	10	20	20	0.125	0.075	0.8
3	12	20	20	0.025	0.125	0.85
3	14	20	20	0	0	1
3	16	20	20	0	0	1
3	18	20	20	0	0	1
3	20	20	20	0	0	1
3	22	20	20	0	0	1
3	24	20	20	0	0	1
3	26	20	20	0	0	1
3	28	20	20	0	0	1
3	30	20	20	0	0	1
3	32	20	20	0	0	1
3	34	20	20	0	0	1
3	36	20	20	0	0	1
3	38	20	20	0	0	1
3	40	20	20	0	0	1
3	42	20	20	0	0	1
3	44	20	20	0	0	1
3	46	20	20	0	0	1
3	48	20	20	0	0	1
3	50	20	20	0	0	1
3	52	20	20	0	0	1
3	54	20	20	0	0	1
3	56	20	20	0	0	1
3	58	20	20	0	0	1
3	60	20	20	0	0	1
3	62	20	20	0	0	1
3	64	20	20	0	0	1
3	66	20	20	0	0	1
3	68	20	20	0	0	1
3	70	20	20	0	0	1
3	72	20	20	0	0	1
3	74	20	20	0	0	1
3	76	20	20	0	0	1
3	78	20	20	0	0	1
3	80	20	20	0	0	1
3	82	20	20	0	0	1
3	84	20	20	0	0	1
3	86	20	20	0	0	1
3	88	20	20	0	0	1
3	90	20	20	0	0	1
3	92	20	20	0	0	1
3	94	20	20	0	0	1
3	96	20	20	0	0	1
3	98	20	20	0	0	1
3	100	20	20	0	0	1
1	0	50	50	0.09	0.39	0.52
1	2	50	50	0.23	0.31	0.46
1	4	50	50	0.27	0.22	0.51
1	6	50	50	0.62	0.12	0.26
1	8	50	50	0.65	0.03	0.32
1	10	50	50	0.54	0.17	0.29
1	12	50	50	0.8	0.08	0.12
1	14	50	50	0.76	0.11	0.13
1	16	50	50	0.62	0.1	0.28
1	18	50	50	0.75	0	0.25
1	20	50	50	0.79	0	0.21
1	22	50	50	0.9	0	0.1
1	24	50	50	0.89	0	0.11
1	26	50	50	0.86	0	0.14
1	28	50	50	0.78	0	0.22
1	30	50	50	0.78	0	0.22
1	32	50	50	0.73	0	0.27
1	34	50	50	0.83	0	0.17
1	36	50	50	0.9	0	0.1
1	38	50	50	0.81	0	0.19
1	40	50	50	0.77	0	0.23
1	42	50	50	0.75	0	0.25
1	44	50	50	0.68	0	0.32
1	46	50	50	0.68	0	0.32
1	48	50	50	0.63	0	0.37
1	50	50	50	0.61	0	0.39
1	52	50	50	0.48	0	0.52
1	54	50	50	0.32	0	0.68
1	56	50	50	0.26	0	0.74
1	58	50	50	0.26	0	0.74
1	60	50	50	0.1	0	0.9
1	62	50	50	0.07	0	0.93
1	64	50	50	0.15	0	0.85
1	66	50	50	0.27	0	0.73
1	68	50	50	0.35	0	0.65
1	70	50	50	0.51	0	0.49
1	72	50	50	0.55	0	0.45
1	74	50	50	0.52	0	0.48
1	76	50	50	0.58	0	0.42
1	78	50	50	0.69	0	0.31
1	80	50	50	0.64	0	0.36
1	82	50	50	0.67	0	0.33
1	84	50	50	0.62	0	0.38
1	86	50	50	0.45	0	0.55
1	88	50	50	0.55	0	0.45
1	90	50	50	0.4	0	0.6
1	92	50	50	0.57	0	0.43
1	94	50	50	0.44	0	0.56
1	96	50	50	0.69	0	0.31
1	98	50	50	0.61	0	0.39
1	100	50	50	0.86	0	0.14
2	0	50	50	0.096	0.462	0.442
2	0	50	50	0.16	0.49	0.35
2	2	50	50	0.04	0.52	0.44
2	4	50	50	0	0.33	0.67
2	6	50	50	0	0.34	0.66
2	8	50	50	0	0.2	0.8
2	10	50	50	0	0.21	0.79
2	12	50	50	0	0.09	0.91
2	14	50	50	0	0.38	0.62
2	16	50	50	0	0.38	0.62
2	18	50	50	0	0.39	0.61
2	20	50	50	0	0.3	0.7
2	22	50	50	0	0.28	0.72
2	24	50	50	0	0.32	0.68
2	26	50	50	0	0.53	0.47
2	28	50	50	0	0.41	0.59
2	30	50	50	0	0.3	0.7
2	32	50	50	0	0.24	0.76
2	34	50	50	0	0.27	0.73
2	36	50	50	0	0.37	0.63
2	38	50	50	0	0.25	0.75
2	40	50	50	0	0.3	0.7
2	42	50	50	0	0.18	0.82
2	44	50	50	0	0.23	0.77
2	46	50	50	0	0.18	0.82
2	48	50	50	0	0.15	0.85
2	50	50	50	0	0.14	0.86
2	52	50	50	0	0.06	0.94
2	54	50	50	0	0.01	0.99
2	56	50	50	0	0	1
2	58	50	50	0	0	1
2	60	50	50	0	0	1
2	62	50	50	0	0	1
2	64	50	50	0	0	1
2	66	50	50	0	0	1
2	68	50	50	0	0	1
2	70	50	50	0	0	1
2	72	50	50	0	0	1
2	74	50	50	0	0	1
2	76	50	50	0	0	1
2	78	50	50	0	0	1
2	80	50	50	0	0	1
2	82	50	50	0	0	1
2	84	50	50	0	0	1
2	86	50	50	0	0	1
2	88	50	50	0	0	1
2	90	50	50	0	0	1
2	92	50	50	0	0	1
2	94	50	50	0	0	1
2	96	50	50	0	0	1
2	98	50	50	0	0	1
2	100	50	50	0	0	1
