Run	Time	Generation	K_Mainland	K_Island	N_Mainland	N_Founding	N_Island	Yellow_Mainland	Yellow_Island	Blue_Mainland	Blue_Island	Red_Mainland	Red_Island
1	1	0	700	50	700	2	4	0.093	0	0.466	0.333	0.441	0.667
1	15	0	700	50	700	2	18	0.096	0	0.454	0	0.45	1
1	30	1	700	50	700	2	33	0.091	0	0.451	0	0.457	1
1	45	1	700	50	700	2	48	0.095	0	0.449	0	0.456	1
1	48	2	700	50	700	2	50	0.095	0	0.458	0	0.447	1
1	109	4	700	50	700	2	50	0.084	0	0.454	0	0.461	1
1	170	6	700	50	700	2	50	0.081	0	0.491	0	0.429	1
1	230	8	700	50	700	2	50	0.071	0	0.476	0	0.454	1
1	292	10	700	50	700	2	50	0.079	0	0.495	0	0.426	1
1	351	12	700	50	700	2	50	0.073	0	0.469	0	0.459	1
1	411	14	700	50	700	2	50	0.082	0	0.471	0	0.447	1
1	470	16	700	50	700	2	50	0.102	0	0.511	0	0.386	1
1	535	18	700	50	700	2	50	0.069	0	0.546	0	0.385	1
1	592	20	700	50	700	2	50	0.045	0	0.586	0	0.369	1
1	653	22	700	50	700	2	50	0.049	0	0.565	0	0.386	1
1	712	24	700	50	700	2	50	0.055	0	0.544	0	0.401	1
1	770	26	700	50	700	2	50	0.054	0	0.562	0	0.384	1
1	831	28	700	50	700	2	50	0.046	0	0.591	0	0.363	1
1	891	30	700	50	700	2	50	0.048	0	0.611	0	0.341	1
1	1	0	700	50	700	5	7	0.093	0.083	0.466	0.167	0.441	0.75
1	15	0	700	50	700	5	21	0.096	0.325	0.454	0.225	0.45	0.45
1	30	1	700	50	700	5	36	0.091	0.343	0.451	0.243	0.457	0.414
1	45	1	700	50	700	5	50	0.095	0.33	0.449	0.3	0.456	0.37
1	48	2	700	50	700	5	50	0.095	0.34	0.458	0.32	0.447	0.34
1	109	4	700	50	700	5	50	0.084	0.18	0.454	0.24	0.461	0.58
1	170	6	700	50	700	5	50	0.081	0.14	0.491	0.2	0.429	0.66
1	230	8	700	50	700	5	50	0.071	0.13	0.476	0.26	0.454	0.61
1	292	10	700	50	700	5	50	0.079	0.13	0.495	0.15	0.426	0.72
1	351	12	700	50	700	5	50	0.073	0.14	0.469	0.28	0.459	0.58
1	411	14	700	50	700	5	50	0.082	0.24	0.471	0.22	0.447	0.54
1	470	16	700	50	700	5	50	0.102	0.27	0.511	0.15	0.386	0.58
1	535	18	700	50	700	5	50	0.069	0.16	0.546	0.23	0.385	0.61
1	592	20	700	50	700	5	50	0.045	0.11	0.586	0.22	0.369	0.67
1	653	22	700	50	700	5	50	0.049	0.11	0.565	0.17	0.386	0.72
1	712	24	700	50	700	5	50	0.055	0.07	0.544	0.19	0.401	0.74
1	770	26	700	50	700	5	50	0.054	0.02	0.562	0.18	0.384	0.8
1	831	28	700	50	700	5	50	0.046	0.01	0.591	0.14	0.363	0.85
1	891	30	700	50	700	5	50	0.048	0	0.611	0.13	0.341	0.87
1	1	0	700	50	700	10	3	0.103	0.136	0.434	0.318	0.464	0.545
1	15	1	700	50	700	10	27	0.106	0.058	0.44	0.481	0.454	0.462
1	30	1	700	50	700	10	41	0.098	0.063	0.429	0.438	0.473	0.5
1	45	2	700	50	700	10	50	0.086	0.05	0.44	0.4	0.474	0.55
1	113	4	700	50	700	10	50	0.07	0.06	0.5	0.43	0.43	0.51
1	172	6	700	50	700	10	50	0.081	0.05	0.5	0.43	0.419	0.52
1	231	8	700	50	700	10	50	0.08	0.02	0.531	0.54	0.389	0.44
1	291	10	700	50	700	10	50	0.047	0.06	0.531	0.42	0.421	0.52
1	352	12	700	50	700	10	50	0.035	0.05	0.486	0.47	0.479	0.48
1	414	14	700	50	700	10	50	0.044	0.06	0.436	0.44	0.52	0.5
1	472	16	700	50	700	10	50	0.033	0.07	0.384	0.33	0.583	0.6
1	532	18	700	50	700	10	50	0.031	0.12	0.363	0.36	0.606	0.52
1	592	20	700	50	700	10	50	0.028	0.19	0.326	0.24	0.646	0.57
1	652	22	700	50	700	10	50	0.029	0.27	0.338	0.18	0.634	0.55
1	721	24	700	50	700	10	50	0.037	0.24	0.321	0.15	0.642	0.61
1	779	26	700	50	700	10	50	0.029	0.23	0.334	0.16	0.638	0.61
1	834	28	700	50	700	10	50	0.033	0.25	0.281	0.15	0.686	0.6
1	892	30	700	50	700	10	50	0.031	0.17	0.272	0.22	0.696	0.61
2	2	0	700	50	700	10	35	0.102	0.088	0.467	0.5	0.431	0.412
2	16	1	700	50	700	10	49	0.091	0.146	0.451	0.469	0.457	0.385
2	32	1	700	50	700	10	50	0.094	0.18	0.446	0.45	0.46	0.37
2	86	3	700	50	700	10	50	0.111	0.421	0.421	0.33	0.468	0.44
2	143	5	700	50	700	10	50	0.109	0.31	0.397	0.25	0.494	0.44
2	204	7	700	50	700	10	50	0.133	0.42	0.394	0.2	0.473	0.38
2	264	9	700	50	700	10	50	0.164	0.31	0.388	0.21	0.448	0.48
2	324	11	700	50	700	10	50	0.15	0.19	0.396	0.28	0.454	0.53
2	378	13	700	50	700	10	50	0.146	0.2	0.408	0.33	0.446	0.47
2	436	15	700	50	700	10	50	0.163	0.1	0.347	0.28	0.49	0.62
2	504	17	700	50	700	10	50	0.18	0.02	0.324	0.25	0.496	0.73
2	558	19	700	50	700	10	50	0.192	0.03	0.361	0.22	0.446	0.75
2	624	21	700	50	700	10	50	0.145	0.1	0.46	0.19	0.395	0.71
2	682	23	700	50	700	10	50	0.121	0.06	0.496	0.23	0.383	0.71
2	740	25	700	50	700	10	50	0.146	0.04	0.482	0.27	0.371	0.69
2	798	27	700	50	700	10	50	0.126	0.07	0.529	0.3	0.345	0.63
2	865	29	700	50	700	10	50	0.129	0.04	0.487	0.32	0.384	0.64
2	916	31	700	50	700	10	50	0.13	0.06	0.487	0.29	0.383	0.65
2	2	0	700	50	700	25	28	0.102	0.093	0.467	0.611	0.431	0.296
2	16	1	700	50	700	25	42	0.091	0.098	0.451	0.622	0.457	0.28
2	32	1	700	50	700	25	50	0.094	0.09	0.446	0.64	0.46	0.27
2	86	3	700	50	700	25	50	0.111	0.468	0.421	0.65	0.468	0.29
2	143	5	700	50	700	25	50	0.109	0.06	0.397	0.55	0.494	0.39
2	204	7	700	50	700	25	50	0.133	0.06	0.394	0.46	0.473	0.48
2	264	9	700	50	700	25	50	0.164	0.03	0.388	0.42	0.448	0.55
2	324	11	700	50	700	25	50	0.15	0.02	0.396	0.45	0.454	0.53
2	378	13	700	50	700	25	50	0.146	0.04	0.408	0.45	0.446	0.51
2	436	15	700	50	700	25	50	0.163	0.03	0.347	0.32	0.49	0.65
2	504	17	700	50	700	25	50	0.18	0	0.324	0.32	0.496	0.68
2	558	19	700	50	700	25	50	0.192	0	0.361	0.31	0.446	0.69
2	624	21	700	50	700	25	50	0.145	0	0.46	0.36	0.395	0.64
2	682	23	700	50	700	25	50	0.121	0	0.496	0.54	0.383	0.46
2	740	25	700	50	700	25	50	0.146	0	0.482	0.49	0.371	0.51
2	798	27	700	50	700	25	50	0.126	0	0.529	0.45	0.345	0.55
2	865	29	700	50	700	25	50	0.129	0	0.487	0.62	0.384	0.38
2	916	31	700	50	700	25	50	0.13	0	0.487	0.58	0.383	0.42
1	1	1	700	100	700	2	4	0.1	0	0.441	0.333	0.459	0.667
1	16	1	700	100	700	2	19	0.096	0	0.447	0.417	0.456	0.583
1	31	1	700	100	700	2	34	0.084	0	0.456	0.485	0.46	0.515
1	46	2	700	100	700	2	49	0.078	0	0.431	0.531	0.491	0.469
1	61	2	700	100	700	2	64	0.071	0	0.416	0.5	0.513	0.5
1	76	3	700	100	700	2	79	0.079	0	0.417	0.551	0.504	0.449
1	136	5	700	100	700	2	100	0.058	0	0.411	0.555	0.531	0.445
1	197	7	700	100	700	2	100	0.059	0	0.387	0.48	0.554	0.52
1	257	9	700	100	700	2	100	0.03	0	0.364	0.475	0.606	0.525
1	317	11	700	100	700	2	100	0.022	0	0.321	0.485	0.656	0.515
1	376	13	700	100	700	2	100	0.011	0	0.631	0.495	0.631	0.505
1	437	15	700	100	700	2	100	0.005	0	0.376	0.5	0.619	0.5
1	497	17	700	100	700	2	100	0.007	0	0.344	0.49	0.649	0.51
1	557	19	700	100	700	2	100	0.004	0	0.36	0.5	0.636	0.5
1	617	21	700	100	700	2	100	0.013	0	0.397	0.49	0.59	0.51
1	677	23	700	100	700	2	100	0.008	0	0.391	0.475	0.601	0.525
1	738	25	700	100	700	2	100	0	0	0.371	0.46	0.629	0.54
1	799	27	700	100	700	2	100	0	0	0.339	0.48	0.661	0.52
1	857	29	700	100	700	2	100	0	0	0.374	0.44	0.626	0.56
1	919	31	700	100	700	2	100	0	0	0.43	0.53	0.57	0.47
2	15	0	700	100	700	2	18	0.105	0	0.457	0.882	0.438	0.118
2	30	1	700	100	700	2	33	0.103	0	0.442	0.844	0.455	0.156
2	45	1	700	100	700	2	48	0.103	0	0.421	0.777	0.476	0.223
2	60	2	700	100	700	2	63	0.101	0	0.435	0.806	0.474	0.194
2	75	2	700	100	700	2	78	0.108	0	0.426	0.825	0.466	0.175
2	90	3	700	100	700	2	93	0.114	0	0.43	0.842	0.456	0.158
2	137	5	700	100	700	2	100	0.139	0	0.416	0.8	0.444	0.2
2	197	7	700	100	700	2	100	0.123	0	0.482	0.865	0.395	0.135
2	257	9	700	100	700	2	100	0.102	0	0.509	0.875	0.389	0.125
2	317	11	700	100	700	2	100	0.102	0	0.491	0.855	0.407	0.145
2	377	13	700	100	700	2	100	0.086	0	0.496	0.86	0.418	0.14
2	437	15	700	100	700	2	100	0.079	0	0.451	0.875	0.47	0.125
2	497	17	700	100	700	2	100	0.087	0	0.484	0.845	0.429	0.155
2	558	19	700	100	700	2	100	0.066	0	0.469	0.865	0.465	0.135
2	618	21	700	100	700	2	100	0.053	0	0.454	0.865	0.494	0.135
2	678	23	700	100	700	2	100	0.062	0	0.499	0.825	0.439	0.175
2	738	25	700	100	700	2	100	0.03	0	0.506	0.785	0.464	0.215
2	798	27	700	100	700	2	100	0.03	0	0.466	0.81	0.504	0.19
2	856	29	700	100	700	2	100	0.024	0	0.456	0.855	0.511	0.145
2	918	31	700	100	700	2	100	0.014	0	0.452	0.865	0.534	0.135
1	1	1	700	100	700	5	7	0.1	0.083	0.441	0.417	0.459	0.5
1	16	1	700	100	700	5	22	0.096	0.071	0.447	0.571	0.456	0.357
1	31	1	700	100	700	5	37	0.084	0.097	0.456	0.569	0.46	0.333
1	46	2	700	100	700	5	52	0.078	0.176	0.431	0.51	0.491	0.314
1	61	2	700	100	700	5	67	0.071	0.25	0.416	0.492	0.513	0.258
1	76	3	700	100	700	5	82	0.079	0.235	0.417	0.469	0.504	0.296
1	136	5	700	100	700	5	100	0.058	0.205	0.411	0.5	0.531	0.295
1	197	7	700	100	700	5	100	0.059	0.245	0.387	0.385	0.554	0.37
1	257	9	700	100	700	5	100	0.03	0.265	0.364	0.385	0.606	0.35
1	317	11	700	100	700	5	100	0.022	0.28	0.321	0.375	0.656	0.345
1	376	13	700	100	700	5	100	0.011	0.26	0.631	0.43	0.631	0.31
1	437	15	700	100	700	5	100	0.005	0.255	0.376	0.425	0.619	0.32
1	497	17	700	100	700	5	100	0.007	0.275	0.344	0.49	0.649	0.235
1	557	19	700	100	700	5	100	0.004	0.26	0.36	0.545	0.636	0.195
1	617	21	700	100	700	5	100	0.013	0.255	0.397	0.515	0.59	0.23
1	677	23	700	100	700	5	100	0.008	0.245	0.391	0.47	0.601	0.285
1	738	25	700	100	700	5	100	0	0.235	0.371	0.435	0.629	0.33
1	799	27	700	100	700	5	100	0	0.27	0.339	0.395	0.661	0.335
1	857	29	700	100	700	5	100	0	0.22	0.374	0.435	0.626	0.345
1	919	31	700	100	700	5	100	0	0.19	0.43	0.45	0.57	0.36
2	15	0	700	100	700	5	21	0.105	0	0.457	0.55	0.438	0.45
2	30	1	700	100	700	5	36	0.103	0	0.442	0.443	0.455	0.557
2	45	1	700	100	700	5	51	0.103	0	0.421	0.42	0.476	0.58
2	60	2	700	100	700	5	66	0.101	0	0.435	0.385	0.474	0.615
2	75	2	700	100	700	5	81	0.108	0	0.426	0.4	0.466	0.6
2	90	3	700	100	700	5	96	0.114	0	0.43	0.411	0.456	0.589
2	137	5	700	100	700	5	100	0.139	0	0.416	0.45	0.444	0.55
2	197	7	700	100	700	5	100	0.123	0	0.482	0.425	0.395	0.575
2	257	9	700	100	700	5	100	0.102	0	0.509	0.415	0.389	0.585
2	317	11	700	100	700	5	100	0.102	0	0.491	0.485	0.407	0.515
2	377	13	700	100	700	5	100	0.086	0	0.496	0.49	0.418	0.51
2	437	15	700	100	700	5	100	0.079	0	0.451	0.54	0.47	0.46
2	497	17	700	100	700	5	100	0.087	0	0.484	0.56	0.429	0.44
2	558	19	700	100	700	5	100	0.066	0	0.469	0.565	0.465	0.435
2	618	21	700	100	700	5	100	0.053	0	0.454	0.57	0.494	0.43
2	678	23	700	100	700	5	100	0.062	0	0.499	0.525	0.439	0.475
2	738	25	700	100	700	5	100	0.03	0	0.506	0.54	0.464	0.46
2	798	27	700	100	700	5	100	0.03	0	0.466	0.555	0.504	0.445
2	856	29	700	100	700	5	100	0.024	0	0.456	0.545	0.511	0.455
2	918	31	700	100	700	5	100	0.014	0	0.452	0.535	0.534	0.465
1	1	0	700	100	700	10	12	0.099	0.182	0.467	0.5	0.434	0.318
1	15	0	700	100	700	10	26	0.106	0.04	0.461	0.42	0.434	0.54
1	30	1	700	100	700	10	41	0.099	0.013	0.454	0.425	0.446	0.563
1	45	1	700	100	700	10	56	0.105	0.018	0.46	0.427	0.435	0.555
1	60	2	700	100	700	10	71	0.11	0.014	0.487	0.464	0.403	0.521
1	75	2	700	100	700	10	86	0.108	0.012	0.473	0.488	0.419	0.5
1	90	3	700	100	700	10	100	0.115	0.005	0.455	0.47	0.43	0.525
1	138	5	700	100	700	10	100	0.122	0.005	0.479	0.57	0.399	0.425
1	199	7	700	100	700	10	100	0.101	0.005	0.426	0.605	0.474	0.39
1	258	9	700	100	700	10	100	0.086	0	0.489	0.555	0.425	0.445
1	318	11	700	100	700	10	100	0.073	0	0.536	0.525	0.391	0.475
1	380	13	700	100	700	10	100	0.077	0	0.551	0.52	0.372	0.48
1	438	15	700	100	700	10	100	0.096	0	0.525	0.51	0.379	0.49
1	498	17	700	100	700	10	100	0.069	0	0.542	0.495	0.389	0.505
1	558	19	700	100	700	10	100	0.045	0	0.559	0.58	0.396	0.42
1	618	21	700	100	700	10	100	0.03	0	0.597	0.55	0.373	0.45
1	679	23	700	100	700	10	100	0.087	0	0.537	0.52	0.376	0.48
1	738	25	700	100	700	10	100	0.096	0	0.591	0.515	0.313	0.485
1	798	27	700	100	700	10	100	0.114	0	0.556	0.5	0.33	0.5
1	859	29	700	100	700	10	100	0.136	0	0.548	0.475	0.316	0.525
1	919	31	700	100	700	10	100	0.116	0	0.546	0.49	0.338	0.51
1	15	1	700	100	700	25	43	0.155	0.155	0.463	0.448	0.423	0.397
1	30	1	700	100	700	25	59	0.114	0.155	0.463	0.448	0.423	0.397
1	45	1	700	100	700	25	70	0.11	0.167	0.462	0.449	0.428	0.384
1	60	2	700	100	700	25	88	0.107	0.167	0.491	0.454	0.401	0.379
1	75	3	700	100	700	25	100	0.104	0.135	0.489	0.44	0.407	0.425
1	142	5	700	100	700	25	100	0.088	0.13	0.469	0.48	0.443	0.39
1	208	7	700	100	700	25	100	0.079	0.09	0.52	0.52	0.449	0.39
1	269	9	700	100	700	25	100	0.099	0.125	0.439	0.49	0.462	0.385
1	332	11	700	100	700	25	100	0.067	0.145	0.49	0.365	0.491	0.365
1	384	13	700	100	700	25	100	0.079	0.16	0.411	0.49	0.511	0.35
1	454	15	700	100	700	25	100	0.083	0.145	0.408	0.535	0.509	0.32
1	519	17	700	100	700	25	100	0.068	0.115	0.371	0.555	0.561	0.33
1	561	19	700	100	700	25	100	0.061	0.135	0.384	0.525	0.555	0.34
1	638	21	700	100	700	25	100	0.074	0.14	0.431	0.52	0.495	0.34
1	692	23	700	100	700	25	100	0.059	0.155	0.396	0.54	0.544	0.305
1	762	25	700	100	700	25	100	0.071	0.15	0.4	0.57	0.529	0.28
1	808	27	700	100	700	25	100	0.066	0.135	0.4	0.61	0.534	0.255
1	871	30	700	100	700	25	100	0.068	0.135	0.373	0.6	0.559	0.265
1	1	0	700	200	700	2	4	0.11	0.167	0.43	0.667	0.46	0.167
1	17	1	700	200	700	2	20	0.12	0.105	0.429	0.895	0.451	0
1	30	1	700	200	700	2	33	0.108	0.109	0.451	0.891	0.441	0
1	48	2	700	200	700	2	51	0.109	0.07	0.449	0.93	0.443	0
1	60	2	700	200	700	2	63	0.098	0.056	0.439	0.944	0.463	0
1	75	2	700	200	700	2	78	0.116	0.058	0.419	0.942	0.465	0
1	91	3	700	200	700	2	94	0.106	0.081	0.426	0.919	0.469	0
1	140	5	700	200	700	2	143	0.085	0.116	0.453	0.884	0.462	0
1	199	7	700	200	700	2	200	0.09	0.133	0.423	0.868	0.487	0
1	260	9	700	200	700	2	200	0.073	0.135	0.428	0.865	0.499	0
1	319	11	700	200	700	2	200	0.049	0.138	0.471	0.863	0.48	0
1	380	13	700	200	700	2	200	0.05	0.163	0.456	0.838	0.494	0
1	440	15	700	200	700	2	200	0.032	0.19	0.502	0.81	0.466	0
1	499	17	700	200	700	2	200	0.023	0.168	0.554	0.833	0.424	0
1	560	19	700	200	700	2	200	0.032	0.17	0.551	0.83	0.416	0
1	616	21	700	200	700	2	200	0.01	0.165	0.578	0.835	0.412	0
1	680	23	700	200	700	2	200	0.016	0.16	0.564	0.84	0.42	0
1	739	25	700	200	700	2	200	0.018	0.165	0.558	0.835	0.424	0
1	800	27	700	200	700	2	200	0.029	0.168	0.554	0.833	0.417	0
1	860	29	700	200	700	2	200	0.016	0.18	0.593	0.82	0.391	0
1	921	31	700	200	700	2	200	0.016	0.193	0.544	0.808	0.439	0
2	1	0	700	200	700	2	4	0.101	0	0.448	0.333	0.452	0.667
2	15	0	700	200	700	2	18	0.12	0	0.452	0.353	0.428	0.647
2	30	1	700	200	700	2	33	0.113	0	0.466	0.375	0.421	0.625
2	45	1	700	200	700	2	48	0.121	0	0.465	0.394	0.414	0.606
2	60	2	700	200	700	2	63	0.132	0	0.457	0.371	0.411	0.629
2	75	2	700	200	700	2	78	0.13	0	0.471	0.409	0.399	0.591
2	90	3	700	200	700	2	93	0.121	0	0.469	0.418	0.411	0.582
2	143	5	700	200	700	2	146	0.089	0	0.494	0.448	0.417	0.552
2	202	7	700	200	700	2	200	0.059	0	0.507	433	0.434	0.568
2	262	9	700	200	700	2	200	0.072	0	0.487	0.445	0.441	0.555
2	323	11	700	200	700	2	200	0.045	0	0.537	0.473	0.418	0.528
2	382	13	700	200	700	2	200	0.035	0	0.501	0.445	0.464	0.555
2	442	15	700	200	700	2	200	0.027	0	0.512	0.44	0.461	0.56
2	503	17	700	200	700	2	200	0.018	0	0.597	0.465	0.385	0.535
2	565	19	700	200	700	2	200	0.014	0	0.606	0.435	0.38	0.565
2	621	21	700	200	700	2	200	0.003	0	0.606	0.43	0.391	0.57
2	697	23	700	200	700	2	200	0.003	0	0.602	0.445	0.395	0.555
2	742	25	700	200	700	2	200	0	0	0.655	0.47	0.345	0.53
2	801	27	700	200	700	2	200	0	0	0.631	0.48	0.369	0.52
2	871	29	700	200	700	2	200	0	0	0.606	0.453	0.394	0.548
2	936	31	700	200	700	2	200	0	0	0.603	0.45	0.397	0.55
1	1	0	700	200	700	5	7	0.11	0.25	0.43	0.417	0.46	0.333
1	17	1	700	200	700	5	23	0.12	0.682	0.429	0	0.451	0.318
1	30	1	700	200	700	5	36	0.108	0.657	0.451	0	0.441	0.343
1	48	2	700	200	700	5	54	0.109	0.613	0.449	0	0.443	0.387
1	60	2	700	200	700	5	66	0.098	0.592	0.439	0	0.463	0.408
1	75	2	700	200	700	5	81	0.116	0.619	0.419	0	0.465	0.381
1	91	3	700	200	700	5	97	0.106	0.62	0.426	0	0.469	0.38
1	140	5	700	200	700	5	146	0.085	0.555	0.453	0	0.462	0.445
1	199	7	700	200	700	5	200	0.09	0.553	0.423	0	0.487	0.448
1	260	9	700	200	700	5	200	0.073	0.545	0.428	0	0.499	0.455
1	319	11	700	200	700	5	200	0.049	0.543	0.471	0	0.48	0.458
1	380	13	700	200	700	5	200	0.05	0.56	0.456	0	0.494	0.44
1	440	15	700	200	700	5	200	0.032	0.545	0.502	0	0.466	0.455
