species	code	habitat
Sphaeromimus splendidus	1.6	Forest - Subtropical/Tropical Moist Lowland
Pelasgus epiroticus	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Browneopsis macrofoliolata	1.9	Forest - Subtropical/Tropical Moist Montane
Bulimulus curtus	3.5	Shrubland - Subtropical/Tropical Dry
Theodoxus altenai	5.9	Wetlands (inland) - Freshwater Springs and Oases
Encephalartos latifrons	3.5	Shrubland - Subtropical/Tropical Dry
Encephalartos latifrons	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Encephalartos latifrons	4.5	Grassland - Subtropical/Tropical Dry
Betula klokovii	1.4	Forest - Temperate
Betula klokovii	4.4	Grassland - Temperate
Badula crassa	1.5	Forest - Subtropical/Tropical Dry
Eleutherodactylus karlschmidti	1.6	Forest - Subtropical/Tropical Moist Lowland
Eleutherodactylus karlschmidti	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Amsinckia marginata	1.9	Forest - Subtropical/Tropical Moist Montane
Parosphromenus phoenicurus	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Lotus eremiticus	1.9	Forest - Subtropical/Tropical Moist Montane
Lotus eremiticus	3.4	Shrubland - Temperate
Cola metallica	1.6	Forest - Subtropical/Tropical Moist Lowland
Idiomela subplicata	4.4	Grassland - Temperate
Idiomela subplicata	6	Rocky areas (eg. inland cliffs, mountain peaks)
Anischnansis burtti	1.6	Forest - Subtropical/Tropical Moist Lowland
Spondylurus monae	1.5	Forest - Subtropical/Tropical Dry
Spondylurus monae	16	Introduced vegetation
Spondylurus monae	3.5	Shrubland - Subtropical/Tropical Dry
Boophis ankarafensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Boophis ankarafensis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Esenbeckia conspecta	1.5	Forest - Subtropical/Tropical Dry
Bolitoglossa longissima	1.9	Forest - Subtropical/Tropical Moist Montane
Pseudoscaphirhynchus fedtschenkoi	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Hakea ilicifolia	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Thorius insperatus	1.9	Forest - Subtropical/Tropical Moist Montane
Barbodes tras	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Haplochromis dichrourus	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Sierraia outambensis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Haplochromis plutonius	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Euphorbia arnottiana	1.5	Forest - Subtropical/Tropical Dry
Euphorbia arnottiana	3.5	Shrubland - Subtropical/Tropical Dry
