species	code	habitat
Ormosia ruddiana	1.9	Forest - Subtropical/Tropical Moist Montane
Dendropanax populifolius	1.9	Forest - Subtropical/Tropical Moist Montane
Rhopalocarpus parvifolius	13.3	Marine Coastal/Supratidal - Coastal Sand Dunes
Epipactis olympica	1.4	Forest - Temperate
Barleria superata	2.1	Savanna - Dry
Rhinocypha latimacula	1.6	Forest - Subtropical/Tropical Moist Lowland
Rhinocypha latimacula	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Camellia euphlebia	1.6	Forest - Subtropical/Tropical Moist Lowland
Isopogon tridens	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Thorectes catalonicus	1.4	Forest - Temperate
Thorectes catalonicus	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Lonchocarpus orizabensis	1.5	Forest - Subtropical/Tropical Dry
Boophis laurenti	1.9	Forest - Subtropical/Tropical Moist Montane
Boophis laurenti	3.7	Shrubland - Subtropical/Tropical High Altitude
Boophis laurenti	4.7	Grassland - Subtropical/Tropical High Altitude
Boophis laurenti	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Neochanna apoda	5.3	Wetlands (inland) - Shrub Dominated Wetlands
Neochanna apoda	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Neochanna apoda	5.8	Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
Nectandra cerifolia	1.9	Forest - Subtropical/Tropical Moist Montane
Pangio alternans	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Madhuca spectabilis	1.6	Forest - Subtropical/Tropical Moist Lowland
Sphaerodactylus randi	14.5	Artificial/Terrestrial - Urban Areas
Sphaerodactylus randi	1.5	Forest - Subtropical/Tropical Dry
Pristimantis zoilae	14.6	Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest
Pristimantis zoilae	1.9	Forest - Subtropical/Tropical Moist Montane
Plagioscyphus humbertii	1.5	Forest - Subtropical/Tropical Dry
Helichrysum dubardii	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Bolitoglossa compacta	1.9	Forest - Subtropical/Tropical Moist Montane
