species	code	habitat
Acaena exigua	1.9	Forest - Subtropical/Tropical Moist Montane
Acaena exigua	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Acalypha dikuluwensis	17	Other
Acalypha dikuluwensis	2.1	Savanna - Dry
Acalypha rubrinervis	1.9	Forest - Subtropical/Tropical Moist Montane
Acalypha wilderi	1.6	Forest - Subtropical/Tropical Moist Lowland
Achyranthes atollensis	13.3	Marine Coastal/Supratidal - Coastal Sand Dunes
Acipenser nudiventris Aral Sea stock	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Acrocephalus astrolabii	1.6	Forest - Subtropical/Tropical Moist Lowland
Acrocephalus astrolabii	3.6	Shrubland - Subtropical/Tropical Moist
Acrocephalus astrolabii	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Acrocephalus astrolabii	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Acrocephalus astrolabii	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Acrocephalus luscinius	1.6	Forest - Subtropical/Tropical Moist Lowland
Acrocephalus luscinius	3.6	Shrubland - Subtropical/Tropical Moist
Acrocephalus luscinius	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Acrocephalus luscinius	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Acrocephalus luscinius	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Acrocephalus musae	14.3	Artificial/Terrestrial - Plantations
Acrocephalus musae	1.6	Forest - Subtropical/Tropical Moist Lowland
Acrocephalus musae	3.6	Shrubland - Subtropical/Tropical Moist
Acrocephalus nijoi	1.6	Forest - Subtropical/Tropical Moist Lowland
Acrocephalus nijoi	3.6	Shrubland - Subtropical/Tropical Moist
Acrocephalus nijoi	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Acrocephalus nijoi	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Acrocephalus nijoi	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Acrocephalus yamashinae	1.6	Forest - Subtropical/Tropical Moist Lowland
Acrocephalus yamashinae	3.6	Shrubland - Subtropical/Tropical Moist
Acrocephalus yamashinae	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Acrocephalus yamashinae	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Acrocephalus yamashinae	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
