species	code	habitat
Nothofagus moorei	1.4	Forest - Temperate
Nototriche sajamensis	4.7	Grassland - Subtropical/Tropical High Altitude
Bachia bresslaui	2.1	Savanna - Dry
Bachia bresslaui	3.5	Shrubland - Subtropical/Tropical Dry
Brachyotum jamesonii	3.7	Shrubland - Subtropical/Tropical High Altitude
Brachyotum jamesonii	4.7	Grassland - Subtropical/Tropical High Altitude
Cunonia deplanchei	3.5	Shrubland - Subtropical/Tropical Dry
Cunonia deplanchei	5.3	Wetlands (inland) - Shrub Dominated Wetlands
Heliogomphus kelantanensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Heliogomphus kelantanensis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Pelochelys signifera	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Pelochelys signifera	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Pelochelys signifera	9.10	Marine Neritic - Estuaries
Pelochelys signifera	9.5	Marine Neritic - Subtidal Sandy-Mud
Palaina strigata	1.6	Forest - Subtropical/Tropical Moist Lowland
Barleria subregularis	2.1	Savanna - Dry
Barleria subregularis	3.5	Shrubland - Subtropical/Tropical Dry
Cyornis caerulatus	1.6	Forest - Subtropical/Tropical Moist Lowland
Cyornis camarinensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Cyornis camarinensis	1.7	Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level
Microthrissa minuta	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Microthrissa minuta	5.2	Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks
Microthrissa minuta	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Microthrissa minuta	5.8	Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
Alviniconcha strummeri	11.6	Marine Deep Benthic - Deep Sea Vents (Rifts/Seeps)
Pterocarpus acapulcensis	1.5	Forest - Subtropical/Tropical Dry
Pterocarpus acapulcensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Oryzias hadiatyae	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Litoria quadrilineata	14.5	Artificial/Terrestrial - Urban Areas
Litoria quadrilineata	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Lenzitopsis oxycedri	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Montipora friabilis	9.2	Marine Neritic - Subtidal Rock and Rocky Reefs
Montipora friabilis	9.8	Marine Neritic - Coral Reef
Montipora friabilis	9.8.2	Back Slope
Montipora friabilis	9.8.3	Foreslope (Outer Reef Slope)
Montipora friabilis	9.8.4	Lagoon
Coffea homollei	1.6	Forest - Subtropical/Tropical Moist Lowland
Albinaria sturanyi	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Albinaria sturanyi	6	Rocky areas (eg. inland cliffs, mountain peaks)
Amomum puberulum	1.6	Forest - Subtropical/Tropical Moist Lowland
Bulbophyllum hirudiniferum	1.6	Forest - Subtropical/Tropical Moist Lowland
Actinella giramica	1.4	Forest - Temperate
Actinella giramica	4.4	Grassland - Temperate
Zanthoxylum mildbraedii	1.6	Forest - Subtropical/Tropical Moist Lowland
Zanthoxylum mildbraedii	1.9	Forest - Subtropical/Tropical Moist Montane
Genyorchis macrantha	1.5	Forest - Subtropical/Tropical Dry
Prinia cinereocapilla	14.1	Artificial/Terrestrial - Arable Land
Prinia cinereocapilla	14.6	Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest
Prinia cinereocapilla	1.5	Forest - Subtropical/Tropical Dry
Prinia cinereocapilla	3.6	Shrubland - Subtropical/Tropical Moist
Prinia cinereocapilla	4.5	Grassland - Subtropical/Tropical Dry
Prinia cinereocapilla	4.6	Grassland - Subtropical/Tropical Seasonally Wet/Flooded
Pristimantis rufioculis	1.9	Forest - Subtropical/Tropical Moist Montane
