POLLUTION	SAMPLE	TIME	Caddisfly	Mayfly	Stonefly	Rif_Beetle	W_Penny	Gill_Snail	Dobsonfly	Cranefly	Dragonfly	Crayfish	Sowbug	Worm	Black_Fly	Midge	Leech	Lung_Snail
moderate	1	250	1	1	1	0	0	0	0	1	1	5	3	4	0	2	1	3
moderate	2	250	0	2	0	1	0	0	2	1	1	7	8	4	2	2	2	8
moderate	3	250	1	0	2	3	0	0	3	3	7	8	4	1	1	2	2	4
moderate	4	250	0	2	1	0	1	0	3	2	4	8	4	1	1	1	1	6
moderate	5	250	0	1	0	0	2	0	1	2	5	4	2	6	2	5	2	5
moderate	6	250	0	0	0	0	1	0	5	3	4	5	2	4	1	3	1	6
moderate	7	250	0	0	0	0	0	0	2	2	3	7	2	1	1	1	2	4
moderate	8	250	0	1	0	2	0	0	1	3	4	7	6	4	2	1	2	4
moderate	9	250	0	0	1	0	1	0	2	4	4	5	1	2	1	1	1	2
moderate	10	250	0	1	0	2	3	0	3	4	2	8	3	6	1	3	2	6
moderate	1	500	0	0	2	2	0	0	5	6	3	15	10	5	6	4	1	8
moderate	2	500	1	0	1	1	4	0	2	10	8	12	5	7	2	2	3	8
moderate	3	500	1	1	2	0	2	0	6	7	6	12	13	7	2	5	4	7
moderate	4	500	1	2	2	1	2	0	3	4	4	15	12	12	4	2	2	7
moderate	5	500	0	1	3	1	4	0	3	5	8	12	5	8	3	4	3	10
moderate	6	500	0	2	1	1	2	0	1	5	2	13	6	9	3	5	4	14
moderate	7	500	1	1	2	1	2	0	6	6	4	11	7	7	3	3	5	12
moderate	8	500	3	1	0	2	0	0	4	6	9	13	6	1	4	3	3	8
moderate	9	500	1	3	1	3	2	0	5	3	3	18	5	7	5	3	7	9
moderate	10	500	0	1	1	0	0	0	7	9	5	8	7	5	3	9	4	13
moderate	1	150	0	0	0	1	0	0	3	0	3	6	1	3	0	1	1	3
moderate	2	150	0	0	2	0	1	0	0	0	3	7	0	1	2	1	1	2
moderate	3	150	0	0	1	1	0	0	1	2	3	4	3	2	0	0	3	4
moderate	4	150	0	0	0	0	0	0	0	2	3	4	3	6	0	1	3	1
moderate	5	150	0	0	0	1	0	0	1	1	2	4	3	5	2	2	0	2
moderate	6	150	1	0	0	0	0	0	1	6	3	2	3	1	2	0	1	2
moderate	7	150	0	0	0	0	0	0	1	3	3	3	3	2	0	1	3	3
moderate	8	150	0	0	2	0	1	0	1	2	6	2	3	0	0	0	3	3
moderate	9	150	1	0	1	0	0	0	2	4	3	1	2	1	1	1	1	5
moderate	10	150	0	0	2	0	0	0	2	1	6	3	3	1	1	1	1	2
none	1	500	4	3	6	3	1	0	2	4	1	0	4	1	1	6	7	15
none	2	500	12	2	7	3	8	0	2	3	6	4	5	6	5	7	1	12
none	3	500	14	2	7	5	2	0	3	2	1	2	1	7	3	4	5	13
none	4	500	5	6	9	6	1	0	8	2	8	3	4	5	3	5	8	11
none	5	500	10	2	7	6	3	0	1	7	2	2	3	3	7	3	3	13
none	6	500	4	4	8	4	3	0	2	7	2	1	2	2	2	6	2	9
none	7	500	10	2	7	5	5	0	6	1	8	6	5	4	1	3	5	9
none	8	500	8	2	5	3	4	0	7	5	11	4	3	0	5	2	5	12
none	9	500	12	5	7	2	2	0	6	6	0	2	3	3	0	4	2	7
none	10	500	8	7	4	6	1	0	1	4	4	2	4	1	3	3	7	9
none	1	150	2	0	3	2	1	0	0	3	0	1	1	0	2	1	2	4
none	2	150	1	0	4	1	0	0	2	1	1	0	2	0	2	2	3	4
none	3	150	3	0	4	0	2	0	0	0	1	0	2	0	1	2	1	5
none	4	150	1	1	4	1	2	0	0	0	0	0	1	1	1	0	3	4
none	5	150	3	0	1	0	0	0	0	0	2	1	0	0	3	1	0	1
none	6	150	1	0	0	1	0	0	2	3	1	0	0	2	2	2	2	2
none	7	150	3	3	0	0	1	0	0	1	0	1	0	0	1	0	1	3
none	8	150	4	3	0	3	0	0	0	0	3	1	2	2	2	0	2	1
none	9	150	3	0	2	3	2	0	0	3	0	1	1	2	1	1	0	2
none	10	150	1	0	0	0	0	0	1	1	2	2	1	1	2	1	2	3
severe	1	150	0	0	0	0	0	0	0	3	0	0	2	5	2	0	8	1
severe	2	150	0	0	0	0	0	0	0	1	2	2	7	3	0	0	3	2
severe	3	150	0	0	0	0	0	0	1	1	0	2	8	7	1	1	4	3
severe	4	150	0	0	0	0	0	0	0	1	0	0	8	1	0	3	1	4
severe	5	150	0	0	0	0	0	2	0	0	0	2	8	3	1	2	2	5
severe	6	150	0	0	0	0	0	0	0	1	4	3	7	4	2	1	1	6
severe	7	150	0	0	0	0	0	0	1	0	0	1	11	2	1	2	3	7
severe	8	150	0	0	0	0	0	0	1	0	1	3	8	3	0	1	2	8
severe	9	150	0	0	0	0	0	0	0	0	0	0	11	1	0	1	4	9
severe	10	150	0	0	0	0	0	1	1	0	0	3	13	1	3	1	2	10
none	1	400	3	2	3	1	1	0	1	6	2	3	3	5	3	3	2	13
none	2	400	6	3	4	4	2	0	2	3	1	1	2	3	5	4	0	11
none	3	400	5	5	4	5	5	0	3	4	6	1	3	0	5	3	1	10
none	4	400	6	7	3	5	2	0	3	2	6	2	2	3	1	2	2	5
none	5	400	5	6	6	3	2	0	4	4	2	3	3	2	3	3	3	13
none	6	400	8	1	5	4	1	0	5	5	3	1	5	6	3	5	3	7
none	7	400	3	4	12	2	2	0	4	4	0	5	3	1	3	1	3	9
none	8	400	6	2	7	2	4	0	1	3	0	2	4	3	2	2	5	6
none	9	400	3	2	4	0	4	0	2	3	3	5	3	2	0	7	4	7
none	10	400	8	5	6	2	3	0	3	4	2	4	1	6	1	4	1	9
severe	1	250	0	0	0	0	0	0	2	0	1	0	0	14	5	0	0	0
severe	2	250	1	0	0	0	0	0	3	2	0	0	5	18	6	0	1	0
severe	3	250	1	0	0	0	0	0	0	1	1	0	3	13	10	3	1	7
severe	4	250	1	0	0	0	0	0	0	2	2	3	4	12	7	1	2	6
severe	5	250	0	0	0	0	0	0	2	1	0	1	2	9	9	0	2	4
severe	6	250	0	0	0	0	0	0	1	2	3	0	4	10	7	1	4	3
severe	7	250	0	0	0	0	0	0	1	0	0	2	4	12	5	1	1	6
severe	8	250	0	0	0	0	0	0	0	1	1	4	5	21	4	3	1	5
severe	9	250	0	0	0	0	0	0	1	1	1	4	2	13	3	1	0	4
severe	10	250	0	0	0	0	0	0	2	3	0	1	1	14	8	1	2	7
moderate	1	400	2	2	0	1	1	0	2	4	5	4	8	6	6	4	2	9
moderate	2	400	0	0	1	1	3	0	5	3	5	19	8	8	0	2	2	6
moderate	3	400	1	2	3	1	3	0	3	3	5	9	12	6	3	9	1	6
moderate	4	400	2	0	1	0	0	0	1	4	5	11	5	10	2	2	3	6
moderate	5	400	1	0	1	2	2	0	1	2	9	11	4	7	2	4	2	8
moderate	6	400	4	1	1	0	0	0	3	5	6	13	5	2	1	0	3	7
moderate	7	400	1	2	0	1	3	0	4	6	7	18	4	5	3	4	4	13
moderate	8	400	0	1	0	1	0	0	2	6	0	8	5	8	3	4	1	9
moderate	9	400	3	0	0	2	1	0	2	6	6	13	4	8	6	2	2	10
moderate	10	400	0	1	0	2	0	0	1	1	9	12	7	6	0	3	2	6
severe	1	400	0	0	0	0	0	0	4	1	2	1	5	24	5	3	2	14
severe	2	400	1	0	0	0	0	0	3	1	0	6	5	19	12	0	5	10
severe	3	400	0	0	0	0	0	0	2	2	0	4	2	22	8	2	4	5
severe	4	400	0	0	0	0	0	0	2	2	2	2	4	17	8	2	2	9
severe	5	400	0	0	0	0	0	0	4	2	2	1	4	27	6	4	2	9
severe	6	400	0	0	0	0	0	0	3	2	1	2	6	25	8	4	6	7
severe	7	400	0	0	0	0	0	0	1	1	1	2	4	16	16	3	6	10
severe	8	400	1	0	0	0	0	0	3	4	2	4	7	29	7	4	7	8
severe	9	400	0	0	0	0	0	0	2	2	3	4	3	23	14	1	6	9
severe	10	400	0	0	0	0	0	0	3	2	3	3	9	19	10	4	3	9
severe	1	500	3	0	0	0	0	0	1	3	3	3	3	34	16	7	4	10
severe	2	500	1	0	0	0	0	0	0	1	2	2	5	27	15	3	2	8
severe	3	500	0	0	0	0	0	0	1	4	6	4	4	33	9	2	3	11
severe	4	500	0	0	0	0	0	0	0	4	5	6	5	26	9	2	5	7
severe	5	500	1	0	0	0	0	0	0	0	0	6	5	36	11	4	5	9
severe	6	500	1	0	0	0	0	0	5	4	0	1	10	31	10	2	8	13
severe	7	500	0	0	0	0	0	0	1	2	2	3	4	22	10	4	5	9
severe	8	500	1	0	0	0	0	0	4	1	1	4	6	44	6	3	1	11
severe	9	500	1	0	0	0	0	0	2	3	2	1	8	24	9	6	4	12
severe	10	500	1	0	0	0	0	0	0	2	2	1	7	31	10	1	5	11
