POLLUTION	TIME	N_INDV	N_SPECIES
severe	0	0	0
severe	10	1	1
severe	20	1	1
severe	30	2	2
severe	40	5	3
severe	50	7	4
severe	60	8	4
severe	70	8	4
severe	80	11	4
severe	90	13	4
severe	100	14	4
severe	110	17	5
severe	120	18	6
severe	130	19	6
severe	140	23	7
severe	150	27	7
severe	160	29	8
severe	170	29	8
severe	180	29	8
severe	190	29	8
severe	200	30	8
severe	220	31	8
severe	240	38	8
severe	260	38	8
severe	280	42	8
severe	300	45	8
severe	320	49	8
severe	340	49	8
severe	360	52	9
severe	400	55	9
severe	450	72	9
severe	500	80	9
severe	0	0	0
severe	10	0	0
severe	20	1	1
severe	30	2	2
severe	40	8	5
severe	50	8	5
severe	60	11	5
severe	70	13	6
severe	80	12	6
severe	90	16	8
severe	100	15	4
severe	110	14	8
severe	120	18	6
severe	130	17	6
severe	140	18	5
severe	150	20	8
severe	160	18	8
severe	170	29	8
severe	180	23	5
severe	190	29	10
severe	200	24	9
severe	220	30	9
severe	240	29	9
severe	260	34	8
severe	280	39	8
severe	300	40	9
severe	320	40	10
severe	340	60	11
severe	360	49	10
severe	400	58	11
severe	450	67	10
severe	500	83	10
none	0	0	0
none	10	0	0
none	20	4	3
none	30	6	3
none	40	7	4
none	50	4	4
none	60	12	9
none	70	12	10
none	80	14	9
none	90	14	9
none	100	20	10
none	110	15	9
none	120	14	7
none	130	32	15
none	140	18	9
none	150	19	9
none	160	16	11
none	170	20	12
none	180	25	12
none	190	27	12
none	200	38	13
none	220	29	16
none	240	39	13
none	260	34	13
none	280	34	12
none	300	46	15
none	320	41	15
none	340	43	15
none	360	63	16
none	400	60	15
none	450	67	16
none	500	76	16
moderate	0	0	0
moderate	10	0	0
moderate	20	2	1
moderate	30	7	5
moderate	40	5	4
moderate	50	5	4
moderate	60	8	6
moderate	70	13	5
moderate	80	10	8
moderate	90	9	6
moderate	100	14	9
moderate	110	14	9
moderate	120	21	9
moderate	130	22	9
moderate	140	27	11
moderate	150	24	13
moderate	160	17	9
moderate	170	19	8
moderate	180	21	11
moderate	190	26	10
moderate	200	20	8
moderate	220	33	12
moderate	240	31	11
moderate	260	40	10
moderate	280	37	14
moderate	300	45	14
moderate	320	50	13
moderate	340	54	13
moderate	360	49	15
moderate	400	67	16
moderate	450	73	14
moderate	500	80	14
none	0	0	0
none	10	0	0
none	20	2	2
none	30	3	3
none	40	6	5
none	50	6	5
none	60	6	5
none	70	9	7
none	80	9	7
none	90	12	9
none	100	13	9
none	110	13	9
none	120	14	9
none	130	15	9
none	140	17	9
none	150	18	9
none	160	20	10
none	170	21	10
none	180	21	10
none	190	22	10
none	200	22	10
none	220	25	10
none	240	26	10
none	260	30	12
none	280	31	13
none	300	35	14
none	320	38	14
none	340	42	15
none	360	44	16
none	400	51	16
none	450	68	16
none	500	75	16
none	0	0	0
none	10	1	1
none	20	0	0
none	30	2	2
none	40	3	3
none	50	7	6
none	60	5	4
none	70	11	9
none	80	10	8
none	90	18	10
none	100	11	8
none	110	12	9
none	120	15	12
none	130	20	12
none	140	30	12
none	150	16	11
none	160	27	13
none	170	24	11
none	180	26	12
none	190	31	12
none	200	30	12
none	220	31	13
none	240	32	12
none	260	32	14
none	280	35	15
none	300	39	16
none	320	52	16
none	340	60	15
none	360	55	16
none	400	54	16
none	450	74	16
none	500	64	16
moderate	0	0	0
moderate	10	0	0
moderate	20	0	0
moderate	30	3	2
moderate	40	5	4
moderate	50	5	4
moderate	60	10	7
moderate	70	7	7
moderate	80	17	9
moderate	90	13	7
moderate	100	9	7
moderate	110	16	8
moderate	120	19	7
moderate	130	16	6
moderate	140	20	8
moderate	150	24	11
moderate	160	20	11
moderate	170	19	9
moderate	180	28	12
moderate	190	28	10
moderate	200	35	12
moderate	220	41	13
moderate	240	40	12
moderate	260	34	11
moderate	280	50	14
moderate	300	45	14
moderate	320	39	12
moderate	340	52	11
moderate	360	60	13
moderate	400	52	13
moderate	450	64	16
moderate	500	70	14
moderate	0	0	0
moderate	10	1	1
moderate	20	3	3
moderate	30	4	4
moderate	40	6	3
moderate	50	7	4
moderate	60	5	4
moderate	70	10	7
moderate	80	8	7
moderate	90	18	9
moderate	100	13	10
moderate	110	17	9
moderate	120	16	8
moderate	130	23	9
moderate	140	13	9
moderate	150	25	9
moderate	160	26	12
moderate	170	24	15
moderate	180	21	10
moderate	190	25	8
moderate	200	32	12
moderate	220	28	12
moderate	240	38	13
moderate	260	35	11
moderate	280	34	12
moderate	300	45	14
moderate	320	49	14
moderate	340	58	16
moderate	360	46	13
moderate	400	50	14
moderate	450	73	13
moderate	500	62	14
severe	0	0	0
severe	10	1	1
severe	20	4	3
severe	30	1	1
severe	40	5	3
severe	50	4	4
severe	60	10	5
severe	70	6	5
severe	80	13	4
severe	90	9	5
severe	100	11	6
severe	110	15	7
severe	120	26	5
severe	130	20	6
severe	140	20	8
severe	150	17	6
severe	160	27	7
severe	170	24	7
severe	180	30	8
severe	190	28	6
severe	200	24	9
severe	220	38	9
severe	240	32	9
severe	260	32	8
severe	280	38	8
severe	300	42	9
severe	320	45	10
severe	340	56	11
severe	360	60	8
severe	400	53	10
severe	450	70	9
severe	500	71	11
moderate	0	0	0
moderate	10	0	0
moderate	20	1	1
moderate	30	3	3
moderate	40	10	6
moderate	50	9	5
moderate	60	9	6
moderate	70	8	4
moderate	80	9	7
moderate	90	9	7
moderate	100	13	8
moderate	110	15	9
moderate	120	11	8
moderate	130	27	12
moderate	140	21	11
moderate	150	20	7
moderate	160	18	8
moderate	170	27	11
moderate	180	30	14
moderate	190	41	14
moderate	200	35	12
moderate	220	31	10
moderate	240	34	12
moderate	260	30	13
moderate	280	36	14
moderate	300	44	13
moderate	320	44	14
moderate	340	48	12
moderate	360	51	12
moderate	400	69	14
moderate	450	62	13
moderate	500	70	14
severe	0	0	0
severe	10	2	1
severe	20	2	1
severe	30	3	2
severe	40	5	3
severe	50	6	4
severe	60	8	5
severe	70	10	5
severe	80	10	6
severe	90	11	6
severe	100	16	6
severe	110	17	6
severe	120	16	8
severe	130	18	7
severe	140	13	4
severe	150	17	8
severe	160	15	5
severe	170	19	6
severe	180	16	7
severe	190	20	8
severe	200	33	10
severe	220	29	9
severe	240	37	6
severe	260	42	8
severe	280	38	9
severe	300	34	9
severe	320	43	10
severe	340	50	10
severe	360	58	11
severe	400	53	8
severe	450	75	9
severe	500	67	8
