code	major_category	subcategory	species_count
1.3	Forest	Subantarctic	2
1.4	Forest	Temperate	33
1.5	Forest	Subtropical/Tropical Dry	27
1.6	Forest	Subtropical/Tropical Moist Lowland	106
1.7	Forest	Subtropical/Tropical Mangrove Vegetation Above High Tide Level	1
1.8	Forest	Subtropical/Tropical Swamp	2
1.9	Forest	Subtropical/Tropical Moist Montane	40
2.1	Savanna	Dry	12
2.2	Savanna	Moist	2
3.2	Shrubland	Subantarctic	5
3.4	Shrubland	Temperate	7
3.5	Shrubland	Subtropical/Tropical Dry	24
3.6	Shrubland	Subtropical/Tropical Moist	16
3.7	Shrubland	Subtropical/Tropical High Altitude	3
3.8	Shrubland	Mediterranean-type Shrubby Vegetation	8
4.3	Grassland	Subantarctic	3
4.4	Grassland	Temperate	13
4.5	Grassland	Subtropical/Tropical Dry	10
4.6	Grassland	Subtropical/Tropical Seasonally Wet/Flooded	1
4.7	Grassland	Subtropical/Tropical High Altitude	2
5.1	Wetlands (inland)	Permanent Rivers/Streams/Creeks (includes waterfalls)	71
5.12	Wetlands (inland)	Geothermal Wetlands	1
5.13	Wetlands (inland)	Permanent Inland Deltas	1
5.16	Wetlands (inland)	Permanent Saline, Brackish or Alkaline Marshes/Pools	2
5.18	Wetlands (inland)	Karst and Other Subterranean Hydrological Systems (inland)	2
5.2	Wetlands (inland)	Seasonal/Intermittent/Irregular Rivers/Streams/Creeks	3
5.3	Wetlands (inland)	Shrub Dominated Wetlands	1
5.4	Wetlands (inland)	Bogs, Marshes, Swamps, Fens, Peatlands	14
5.5	Wetlands (inland)	Permanent Freshwater Lakes (over 8ha)	47
5.6	Wetlands (inland)	Seasonal/Intermittent Freshwater Lakes (over 8ha)	2
5.7	Wetlands (inland)	Permanent Freshwater Marshes/Pools (under 8ha)	23
5.8	Wetlands (inland)	Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)	4
5.9	Wetlands (inland)	Freshwater Springs and Oases	26
6	Rocky areas (eg. inland cliffs, mountain peaks)	NA	10
7.1	Caves and Subterranean Habitats (non-aquatic)	Caves	1
8.1	Desert	Hot	7
8.2	Desert	Temperate	3
9.1	Marine Neritic	Estuaries	5
9.1	Marine Neritic	Pelagic	5
9.2	Marine Neritic	Subtidal Rock and Rocky Reefs	2
9.3	Marine Neritic	Subtidal Loose Rock/pebble/gravel	1
9.4	Marine Neritic	Subtidal Sandy	1
9.5	Marine Neritic	Subtidal Sandy-Mud	1
9.7	Marine Neritic	Macroalgal/Kelp	2
10.1	Marine Oceanic	Epipelagic (0-200m)	5
10.2	Marine Oceanic	Mesopelagic (200-1000m)	2
12.1	Marine Intertidal	Rocky Shoreline	6
12.2	Marine Intertidal	Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc	7
12.3	Marine Intertidal	Shingle and/or Pebble Shoreline and/or Beaches	6
12.5	Marine Intertidal	Salt Marshes (Emergent Grasses)	1
12.6	Marine Intertidal	Tidepools	2
13.1	Marine Coastal/Supratidal	Sea Cliffs and Rocky Offshore Islands	11
13.3	Marine Coastal/Supratidal	Coastal Sand Dunes	2
13.5	Marine Coastal/Supratidal	Coastal Freshwater Lakes	1
14.1	Artificial/Terrestrial	Arable Land	1
14.3	Artificial/Terrestrial	Plantations	3
14.4	Artificial/Terrestrial	Rural Gardens	2
14.5	Artificial/Terrestrial	Urban Areas	1
14.6	Artificial/Terrestrial	Subtropical/Tropical Heavily Degraded Former Forest	2
15.7	Artificial/Aquatic	Irrigated Land (includes irrigation channels)	1
15.8	Artificial/Aquatic	Seasonally Flooded Agricultural Land	1
15.9	Artificial/Aquatic	Canals and Drainage Channels, Ditches	2
17	Other	NA	11
18	Unknown	NA	90
