code	title	timing	scope	severity	score	invasive
5.2	Gathering terrestrial plants	Ongoing	NA	NA	Low Impact: 3	NA
5.2.1	Intentional use (species is the target)	Ongoing	NA	NA	Low Impact: 3	NA
5.3	Logging & wood harvesting	Ongoing	NA	NA	Low Impact: 3	NA
5.3.3	Unintentional effects: (subsistence/small scale) [harvest]	Ongoing	NA	NA	Low Impact: 3	NA
5.3	Logging & wood harvesting	Ongoing	NA	NA	Low Impact: 3	NA
5.3.3	Unintentional effects: (subsistence/small scale) [harvest]	Ongoing	NA	NA	Low Impact: 3	NA
2.1	Annual & perennial non-timber crops	Ongoing	Majority (50-90%)	Rapid Declines	Medium Impact: 7	NA
2.1.1	Shifting agriculture	Ongoing	Majority (50-90%)	Rapid Declines	Medium Impact: 7	NA
5.3	Logging & wood harvesting	Ongoing	Majority (50-90%)	Rapid Declines	Medium Impact: 7	NA
5.3.3	Unintentional effects: (subsistence/small scale) [harvest]	Ongoing	Majority (50-90%)	Rapid Declines	Medium Impact: 7	NA
7.1	Fire & fire suppression	Ongoing	Majority (50-90%)	Rapid Declines	Medium Impact: 7	NA
7.1.2	Supression in fire frequency/intensity	Ongoing	Majority (50-90%)	Rapid Declines	Medium Impact: 7	NA
5.3	Logging & wood harvesting	Ongoing	NA	NA	Low Impact: 3	NA
5.3.3	Unintentional effects: (subsistence/small scale) [harvest]	Ongoing	NA	NA	Low Impact: 3	NA
2.1	Annual & perennial non-timber crops	Ongoing	NA	NA	Low Impact: 3	NA
2.1.2	Small-holder farming	Ongoing	NA	NA	Low Impact: 3	NA
5.3	Logging & wood harvesting	Ongoing	NA	NA	Low Impact: 3	NA
5.3.3	Unintentional effects: (subsistence/small scale) [harvest]	Ongoing	NA	NA	Low Impact: 3	NA
5.3.5	Motivation Unknown/Unrecorded	Ongoing	NA	NA	Low Impact: 3	NA
2.1	Annual & perennial non-timber crops	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
2.1.1	Shifting agriculture	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
5.3	Logging & wood harvesting	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
5.3.1	Intentional use: (subsistence/small scale) [harvest]	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
7.1	Fire & fire suppression	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
7.1.1	Increase in fire frequency/intensity	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
2.1	Annual & perennial non-timber crops	Ongoing	Minority (<50%)	Unknown	Unknown	NA
2.1.1	Shifting agriculture	Ongoing	Minority (<50%)	Unknown	Unknown	NA
5.3	Logging & wood harvesting	Ongoing	Majority (50-90%)	Unknown	Unknown	NA
5.3.1	Intentional use: (subsistence/small scale) [harvest]	Ongoing	Majority (50-90%)	Unknown	Unknown	NA
7.1	Fire & fire suppression	Ongoing	Minority (<50%)	Unknown	Unknown	NA
7.1.1	Increase in fire frequency/intensity	Ongoing	Minority (<50%)	Unknown	Unknown	NA
2.1	Annual & perennial non-timber crops	Ongoing	NA	NA	Low Impact: 3	NA
2.1.1	Shifting agriculture	Ongoing	NA	NA	Low Impact: 3	NA
5.3	Logging & wood harvesting	Ongoing	NA	NA	Low Impact: 3	NA
5.3.4	Unintentional effects: (large scale) [harvest]	Ongoing	NA	NA	Low Impact: 3	NA
2.1	Annual & perennial non-timber crops	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
2.1.1	Shifting agriculture	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
2.3	Livestock farming & ranching	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
2.3.1	Nomadic grazing	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
5.3	Logging & wood harvesting	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
5.3.1	Intentional use: (subsistence/small scale) [harvest]	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
7.1	Fire & fire suppression	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
7.1.1	Increase in fire frequency/intensity	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
2.1	Annual & perennial non-timber crops	Ongoing	NA	NA	Low Impact: 3	NA
