code	title	timing	scope	severity	score	invasive
11.1	Habitat shifting & alteration	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	NA
7.1	Fire & fire suppression	Ongoing	Majority (50-90%)	Rapid Declines	Medium Impact: 7	NA
7.1.1	Increase in fire frequency/intensity	Ongoing	Majority (50-90%)	Rapid Declines	Medium Impact: 7	NA
8.1	Invasive non-native/alien species/diseases	Ongoing	NA	NA	Low Impact: 3	NA
8.1.1	Unspecified species	Ongoing	NA	NA	Low Impact: 3	NA
11.2	Droughts	Ongoing	NA	NA	Low Impact: 3	NA
8.1	Invasive non-native/alien species/diseases	Ongoing	NA	NA	Low Impact: 3	NA
8.1	Invasive non-native/alien species/diseases (Unspecified SALMONIDAE)	Ongoing	NA	NA	Low Impact: 3	Unspecified SALMONIDAE
8.1.1	Unspecified species	Ongoing	NA	NA	Low Impact: 3	NA
8.1.2	Named species (Unspecified SALMONIDAE)	Ongoing	NA	NA	Low Impact: 3	Unspecified SALMONIDAE
8.4	Problematic species/disease of unknown origin (Aeromonas hydrophila)	Ongoing	NA	NA	Low Impact: 3	Aeromonas hydrophila
8.4.2	Named species (Aeromonas hydrophila)	Ongoing	NA	NA	Low Impact: 3	Aeromonas hydrophila
9.3	Agricultural & forestry effluents	Ongoing	NA	NA	Low Impact: 3	NA
9.3.4	Type Unknown/Unrecorded	Ongoing	NA	NA	Low Impact: 3	NA
1.1	Housing & urban areas	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	NA
11.2	Droughts	Future	Whole (>90%)	Very Rapid Declines	Medium Impact: 7	NA
6.1	Recreational activities	Ongoing	Whole (>90%)	Unknown	Unknown	NA
6.3	Work & other activities	Unknown	Unknown	Unknown	Unknown	NA
9.3	Agricultural & forestry effluents	Ongoing	Unknown	Unknown	Unknown	NA
9.3.3	Herbicides and pesticides	Ongoing	Unknown	Unknown	Unknown	NA
7.2	Dams & water management/use	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
7.2.4	Abstraction of surface water (unknown use)	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
7.2.8	Abstraction of ground water (unknown use)	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
9.1	Domestic & urban waste water	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
9.1.1	Sewage	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
9.1.2	Run-off	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
8.2	Problematic native species/diseases (Orconectes rusticus)	Future	Unknown	Unknown	Unknown	Orconectes rusticus
8.2.2	Named species (Orconectes rusticus)	Future	Unknown	Unknown	Unknown	Orconectes rusticus
1.1	Housing & urban areas	Ongoing	Minority (<50%)	Unknown	Unknown	NA
4.1	Roads & railroads	Ongoing	Minority (<50%)	Unknown	Unknown	NA
5.3	Logging & wood harvesting	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
5.3.4	Unintentional effects: (large scale) [harvest]	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
8.4	Problematic species/disease of unknown origin	Ongoing	Minority (<50%)	Unknown	Unknown	NA
8.4.1	Unspecified species	Ongoing	Minority (<50%)	Unknown	Unknown	NA
9.3	Agricultural & forestry effluents	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
9.3.3	Herbicides and pesticides	Ongoing	Minority (<50%)	Slow, Significant Declines	Low Impact: 5	NA
2.3	Livestock farming & ranching	Ongoing	NA	NA	Low Impact: 3	NA
2.3.4	Scale Unknown/Unrecorded	Ongoing	NA	NA	Low Impact: 3	NA
8.1	Invasive non-native/alien species/diseases (Sus domesticus)	Ongoing	NA	NA	Low Impact: 3	Sus domesticus
8.1.2	Named species (Sus domesticus)	Ongoing	NA	NA	Low Impact: 3	Sus domesticus
2.3	Livestock farming & ranching	Ongoing	NA	NA	Low Impact: 3	NA
2.3.3	Agro-industry grazing, ranching or farming	Ongoing	NA	NA	Low Impact: 3	NA
3.1	Oil & gas drilling	Ongoing	NA	NA	Low Impact: 3	NA
9.3	Agricultural & forestry effluents	Ongoing	NA	NA	Low Impact: 3	NA
9.3.3	Herbicides and pesticides	Ongoing	NA	NA	Low Impact: 3	NA
6.1	Recreational activities	Ongoing	NA	NA	Low Impact: 3	NA
7.3	Other ecosystem modifications	Ongoing	NA	NA	Low Impact: 3	NA
5.4	Fishing & harvesting aquatic resources	Ongoing	NA	NA	Low Impact: 3	NA
5.4.2	Intentional use: (large scale) [harvest]	Ongoing	NA	NA	Low Impact: 3	NA
5.4.4	Unintentional effects: (large scale) [harvest]	Ongoing	NA	NA	Low Impact: 3	NA
12.1	Other threat	Ongoing	Minority (<50%)	Causing/Could cause fluctuations	Low Impact: 5	NA
1.3	Tourism & recreation areas	Ongoing	Minority (<50%)	Causing/Could cause fluctuations	Low Impact: 5	NA
4.1	Roads & railroads	Ongoing	Minority (<50%)	Causing/Could cause fluctuations	Low Impact: 5	NA
6.1	Recreational activities	Ongoing	Minority (<50%)	Causing/Could cause fluctuations	Low Impact: 5	NA
10.3	Avalanches/landslides	Past, Likely to Return	Majority (50-90%)	Very Rapid Declines	Past Impact	NA
11.1	Habitat shifting & alteration	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	NA
11.2	Droughts	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	NA
11.4	Storms & flooding	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	NA
12.1	Other threat	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	NA
7.1	Fire & fire suppression	Ongoing	Whole (>90%)	Rapid Declines	High Impact: 8	NA
7.1.1	Increase in fire frequency/intensity	Ongoing	Whole (>90%)	Rapid Declines	High Impact: 8	NA
8.1	Invasive non-native/alien species/diseases	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	NA
8.1	Invasive non-native/alien species/diseases (Axis axis)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Axis axis
8.1	Invasive non-native/alien species/diseases (Bos taurus)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Bos taurus
8.1	Invasive non-native/alien species/diseases (Cenchrus ciliaris)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Cenchrus ciliaris
8.1	Invasive non-native/alien species/diseases (Lantana camara)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Lantana camara
8.1	Invasive non-native/alien species/diseases (Melinis repens)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Melinis repens
8.1	Invasive non-native/alien species/diseases (Sus domesticus)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Sus domesticus
8.1.1	Unspecified species	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	NA
8.1.2	Named species (Axis axis)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Axis axis
8.1.2	Named species (Bos taurus)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Bos taurus
8.1.2	Named species (Cenchrus ciliaris)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Cenchrus ciliaris
8.1.2	Named species (Lantana camara)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Lantana camara
8.1.2	Named species (Melinis repens)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Melinis repens
8.1.2	Named species (Sus domesticus)	Ongoing	Whole (>90%)	Slow, Significant Declines	Medium Impact: 7	Sus domesticus
2.3	Livestock farming & ranching	Ongoing	NA	NA	Low Impact: 3	NA
2.3.4	Scale Unknown/Unrecorded	Ongoing	NA	NA	Low Impact: 3	NA
7.1	Fire & fire suppression	Ongoing	NA	NA	Low Impact: 3	NA
7.1.3	Trend Unknown/Unrecorded	Ongoing	NA	NA	Low Impact: 3	NA
8.1	Invasive non-native/alien species/diseases	Ongoing	NA	NA	Low Impact: 3	NA
8.1	Invasive non-native/alien species/diseases (Capra hircus)	Ongoing	NA	NA	Low Impact: 3	Capra hircus
8.1	Invasive non-native/alien species/diseases (Sus domesticus)	Ongoing	NA	NA	Low Impact: 3	Sus domesticus
8.1.1	Unspecified species	Ongoing	NA	NA	Low Impact: 3	NA
8.1.2	Named species (Capra hircus)	Ongoing	NA	NA	Low Impact: 3	Capra hircus
8.1.2	Named species (Sus domesticus)	Ongoing	NA	NA	Low Impact: 3	Sus domesticus
8.2	Problematic native species/diseases	Ongoing	NA	NA	Low Impact: 3	NA
8.2.1	Unspecified species	Ongoing	NA	NA	Low Impact: 3	NA
8.1	Invasive non-native/alien species/diseases	Past, Unlikely to Return	NA	NA	Past Impact	NA
8.1	Invasive non-native/alien species/diseases (Schinus terebinthifolia)	Past, Unlikely to Return	NA	NA	Past Impact	Schinus terebinthifolia
8.1	Invasive non-native/alien species/diseases (Sus domesticus)	Past, Unlikely to Return	NA	NA	Past Impact	Sus domesticus
8.1.1	Unspecified species	Past, Unlikely to Return	NA	NA	Past Impact	NA
8.1.2	Named species (Schinus terebinthifolia)	Past, Unlikely to Return	NA	NA	Past Impact	Schinus terebinthifolia
8.1.2	Named species (Sus domesticus)	Past, Unlikely to Return	NA	NA	Past Impact	Sus domesticus
7.2	Dams & water management/use	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
7.2.11	Dams (size unknown)	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
9.1	Domestic & urban waste water	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
9.1.1	Sewage	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
9.1.2	Run-off	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
9.2	Industrial & military effluents	Ongoing	Unknown	NA	Unknown	NA
9.2.2	Seepage from mining	Ongoing	Unknown	NA	Unknown	NA
9.3	Agricultural & forestry effluents	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
9.3.2	Soil erosion, sedimentation	Ongoing	Majority (50-90%)	NA	Low Impact: 5	NA
2.3	Livestock farming & ranching	Ongoing	NA	NA	Low Impact: 3	NA
2.3.4	Scale Unknown/Unrecorded	Ongoing	NA	NA	Low Impact: 3	NA
6.1	Recreational activities	Ongoing	NA	NA	Low Impact: 3	NA
8.2	Problematic native species/diseases (Unspecified CERVIDAE)	Ongoing	NA	NA	Low Impact: 3	Unspecified CERVIDAE
8.2.2	Named species (Unspecified CERVIDAE)	Ongoing	NA	NA	Low Impact: 3	Unspecified CERVIDAE
9.3	Agricultural & forestry effluents	Ongoing	NA	NA	Low Impact: 3	NA
9.3.3	Herbicides and pesticides	Ongoing	NA	NA	Low Impact: 3	NA
7.1	Fire & fire suppression	Ongoing	NA	NA	Low Impact: 3	NA
7.1.3	Trend Unknown/Unrecorded	Ongoing	NA	NA	Low Impact: 3	NA
8.1	Invasive non-native/alien species/diseases	Ongoing	NA	NA	Low Impact: 3	NA
8.1	Invasive non-native/alien species/diseases (Axis axis)	Ongoing	NA	NA	Low Impact: 3	Axis axis
8.1	Invasive non-native/alien species/diseases (Capra hircus)	Ongoing	NA	NA	Low Impact: 3	Capra hircus
8.1	Invasive non-native/alien species/diseases (Sus domesticus)	Ongoing	NA	NA	Low Impact: 3	Sus domesticus
8.1.1	Unspecified species	Ongoing	NA	NA	Low Impact: 3	NA
8.1.2	Named species (Axis axis)	Ongoing	NA	NA	Low Impact: 3	Axis axis
8.1.2	Named species (Capra hircus)	Ongoing	NA	NA	Low Impact: 3	Capra hircus
8.1.2	Named species (Sus domesticus)	Ongoing	NA	NA	Low Impact: 3	Sus domesticus
7.2	Dams & water management/use	Ongoing	Unknown	Unknown	Unknown	NA
7.2.5	Abstraction of ground water (domestic use)	Ongoing	Unknown	Unknown	Unknown	NA
7.2.6	Abstraction of ground water (commercial use)	Ongoing	Unknown	Unknown	Unknown	NA
7.2.7	Abstraction of ground water (agricultural use)	Ongoing	Unknown	Unknown	Unknown	NA
9.1	Domestic & urban waste water	Ongoing	Unknown	Unknown	Unknown	NA
9.1.3	Type Unknown/Unrecorded	Ongoing	Unknown	Unknown	Unknown	NA
1.1	Housing & urban areas	Future	NA	NA	No/Negligible Impact: 1	NA
1.2	Commercial & industrial areas	Future	NA	NA	No/Negligible Impact: 1	NA
2.1	Annual & perennial non-timber crops	Future	NA	NA	No/Negligible Impact: 1	NA
2.1.4	Scale Unknown/Unrecorded	Future	NA	NA	No/Negligible Impact: 1	NA
7.2	Dams & water management/use	Future	NA	NA	No/Negligible Impact: 1	NA
7.2.8	Abstraction of ground water (unknown use)	Future	NA	NA	No/Negligible Impact: 1	NA
9.1	Domestic & urban waste water	Ongoing	NA	NA	Low Impact: 3	NA
9.1.3	Type Unknown/Unrecorded	Ongoing	NA	NA	Low Impact: 3	NA
9.3	Agricultural & forestry effluents	Ongoing	NA	NA	Low Impact: 3	NA
9.3.4	Type Unknown/Unrecorded	Ongoing	NA	NA	Low Impact: 3	NA
2.3	Livestock farming & ranching	Ongoing	Whole (>90%)	Unknown	Unknown	NA
2.3.4	Scale Unknown/Unrecorded	Ongoing	Whole (>90%)	Unknown	Unknown	NA
3.3	Renewable energy	Ongoing	Majority (50-90%)	Unknown	Unknown	NA
7.2	Dams & water management/use	Ongoing	Whole (>90%)	Unknown	Unknown	NA
7.2.11	Dams (size unknown)	Ongoing	Whole (>90%)	Unknown	Unknown	NA
7.2.5	Abstraction of ground water (domestic use)	Ongoing	Whole (>90%)	Unknown	Unknown	NA
