ISLAND	RUN_TIME	DISTANCE	SIZE	MIGRAT_RATE	MORTALITY	n	I	E
Isle of Leary	10	350	160	2	0.05	1	5.142857142857143	0.014058533129758728
Isle of Leary	25	350	160	2	0.05	1	5.142857142857143	0.014058533129758728
Isle of Leary	50	350	160	2	0.05	3	4	0.04217559938927619
Isle of Leary	100	350	160	2	0.05	3	4	0.04217559938927619
Isle of Leary	250	350	160	2	0.05	7	1.7142857142857142	0.09840973190831111
Isle of Leary	500	350	160	2	0.05	10	0	0.14058533129758727
Isle of Leary	1000	350	160	2	0.05	8	1.1428571428571428	0.11246826503806982
Isle of Leary	1500	350	160	2	0.05	7	1.7142857142857142	0.09840973190831111
Isle of Leary	2500	350	160	2	0.05	6	2.2857142857142856	0.08435119877855238
Isle of Leary	5000	350	160	2	0.05	9	0.5714285714285714	0.12652679816782855
Shannon Rock	10	10	160	2	0.05	2	160	0.028117066259517456
Shannon Rock	25	10	160	2	0.05	2	160	0.028117066259517456
Shannon Rock	50	10	160	2	0.05	3	140	0.04217559938927619
Shannon Rock	100	10	160	2	0.05	9	20	0.12652679816782855
Shannon Rock	250	10	160	2	0.05	5	100	0.07029266564879363
Shannon Rock	500	10	160	2	0.05	5	100	0.07029266564879363
Shannon Rock	1000	10	160	2	0.05	7	60	0.09840973190831111
Shannon Rock	1500	10	160	2	0.05	6	80	0.08435119877855238
Shannon Rock	2500	10	160	2	0.05	8	40	0.11246826503806982
Shannon Rock	5000	10	160	2	0.05	5	100	0.07029266564879363
