qseqid	qlen	sacc	slen	evalue	pident	length	qcovhsp	sp
GZ11_154	122	KF020876	16692	1.81E-53	99.18	122	99	Alopias_pelagicus
GZ3_145	139	HM147135	16758	9.88E-62	98.561	139	100	Callorhinchus_callorynchus
GZ3_181	139	HM147135	16758	9.88E-62	98.561	139	100	Callorhinchus_callorynchus
GZ3_182	139	HM147135	16758	9.88E-62	98.561	139	100	Callorhinchus_callorynchus
GZ3_183	139	HM147135	16758	9.88E-62	98.561	139	100	Callorhinchus_callorynchus
GZ3_184	139	HM147135	16758	9.88E-62	98.561	139	100	Callorhinchus_callorynchus
GZ3_185	139	HM147135	16758	9.88E-62	98.561	139	100	Callorhinchus_callorynchus
GZ3_186	139	HM147135	16758	9.88E-62	98.561	139	100	Callorhinchus_callorynchus
GZ3_187	139	HM147135	16758	9.88E-62	98.561	139	100	Callorhinchus_callorynchus
GZ3_188	139	HM147135	16758	9.88E-62	98.561	139	100	Callorhinchus_callorynchus
GZ3_189	139	HM147135	16758	9.88E-62	98.561	139	100	Callorhinchus_callorynchus
GZ3_190	139	HM147135	16758	9.88E-62	98.561	139	100	Callorhinchus_callorynchus
GZ7_172	139	HM147135	16758	2.12E-63	99.281	139	100	Callorhinchus_callorynchus
GZ7_173	139	HM147135	16758	2.12E-63	99.281	139	100	Callorhinchus_callorynchus
GZ7_174	139	HM147135	16758	2.12E-63	99.281	139	100	Callorhinchus_callorynchus
GZ7_177	139	HM147135	16758	2.12E-63	99.281	139	100	Callorhinchus_callorynchus
GZ7_178	139	HM147135	16758	2.12E-63	99.281	139	100	Callorhinchus_callorynchus
GZ7_179	139	HM147135	16758	2.12E-63	99.281	139	100	Callorhinchus_callorynchus
GZ7_180	139	HM147135	16758	2.12E-63	99.281	139	100	Callorhinchus_callorynchus
GZ7_161	127	HM147136	16760	4.11E-55	98.425	127	100	Callorhinchus_capensis
GZ7_165	127	HM147136	16760	4.11E-55	98.425	127	100	Callorhinchus_capensis
GZ7_166	127	HM147136	16760	4.11E-55	98.425	127	100	Callorhinchus_capensis
GZ7_168	127	HM147136	16760	4.11E-55	98.425	127	100	Callorhinchus_capensis
GZ7_170	127	HM147136	16760	4.11E-55	98.425	127	100	Callorhinchus_capensis
GZ11_062	105	KF590340	654	2.48E-46	100	105	100	Carcharhinus_amboinensis
GZ11_064	98	KF590340	654	1.74E-42	100	98	100	Carcharhinus_amboinensis
GZ11_122	105	KF590340	654	2.48E-46	100	105	100	Carcharhinus_amboinensis
GZ2_084	105	KF590340	654	2.48E-46	100	105	100	Carcharhinus_amboinensis
GZ7_048	111	KF590340	654	1.24E-49	100	111	100	Carcharhinus_amboinensis
GZ7_050	116	KF590340	654	1.02E-50	99.138	116	100	Carcharhinus_amboinensis
GZ8_183	151	KP193321	652	1.43E-50	96.094	128	85	Carcharhinus_amboinensis
GZ4_008	121	FJ519072	652	3.85E-55	100	121	100	Carcharhinus_dussumieri
GZ6_065	112	FJ519076	652	3.49E-50	100	112	100	Carcharhinus_dussumieri
GZ11_067	98	FJ519081	652	1.74E-42	100	98	100	Carcharhinus_falciformis
GZ11_150	105	FJ519081	652	2.48E-46	100	105	100	Carcharhinus_falciformis
GZ10_094	116	JN034899	571	2.19E-52	100	116	100	Carcharhinus_leiodon
GZ1_074	90	KF461151	655	4.29E-38	100	90	100	Carcharhinus_leucas
GZ3_014	90	KF461151	655	4.29E-38	100	90	100	Carcharhinus_leucas
